#U_korr	d(U_korr)	n	dn
#145.7417	0.1077	0.09537423523	0.0438060322
#146.3417	0.1077	0.1018165253	0.04415835367
147.0417	0.1077	0.1217342023	0.04549937764
147.3417	0.1077	0.08076466263	0.04225389317
147.8417	0.1077	0.2292993631	0.05272471155
148.3417	0.1077	0.2352676816	0.05297765698
148.8417	0.1077	0.2143217065	0.05150131738
149.3417	0.1077	0.3073489203	0.0571174252
149.8417	0.1077	0.5599243646	0.07023700888
#150.2417	0.1077	0.5451217483	0.06941464212
150.8417	0.1077	0.9208331031	0.08535548445
151.2417	0.1077	1.024188661	0.08914402492
151.8417	0.1077	1.270402283	0.09763417464
152.3417	0.1077	1.121820469	0.09231378394
152.8417	0.1077	0.4442505861	0.06369069784
153.3417	0.1077	0.2602032498	0.05328445637
153.8417	0.1077	0.2203564271	0.05066836838
154.3417	0.1077	0.3297878084	0.05713450424
154.8417	0.1077	0.341639309	0.05767776476
155.3417	0.1077	0.4757255512	0.06461922969
155.8417	0.1077	0.4934495482	0.06536380239
156.3417	0.1077	0.4279089601	0.0619354049
156.8417	0.1077	0.3627862494	0.05835268493
157.3417	0.1077	0.2090990943	0.04913188098
157.8417	0.1077	0.2401140383	0.05098401163
158.3417	0.1077	0.1130466818	0.04225231863
158.9417	0.1077	0.06228700257	0.0381461098
159.4417	0.1077	0.131082423	0.04334422477
#159.9417	0.1077	0.09941124368	0.04088441737
#160.3417	0.1077	0.161530066	0.04530094332
#160.9417	0.1077	0.09879355874	0.04063038418
