#U_korr	d(U_korr)	n	dn
147.742	0.108	0.1489	0.0416
148.242	0.108	0.2226	0.0471
148.842	0.108	0.2217	0.0470
149.342	0.108	0.3147	0.0531
149.842	0.108	0.4471	0.0607
150.342	0.108	0.7117	0.0737
150.842	0.108	1.1005	0.0894
151.342	0.108	1.2687	0.0953
151.942	0.108	1.1386	0.0904
152.342	0.108	0.7418	0.0745
152.842	0.108	0.4122	0.0581
153.342	0.108	0.3652	0.0553
153.842	0.108	0.3575	0.0547
154.342	0.108	0.4989	0.0624
154.842	0.108	0.5554	0.0652
155.342	0.108	0.4377	0.0589
155.842	0.108	0.3914	0.0562
156.342	0.108	0.3326	0.0527
156.842	0.108	0.2742	0.0489
157.342	0.108	0.1398	0.0391
157.842	0.108	0.0950	0.0352
