#U_korr	d(U_korr)	n	dn
12.842	0.108	0.0000	0.3099
23.742	0.108	0.0000	0.1676
32.942	0.108	-0.0607	0.1129
42.842	0.108	0.0700	0.1013
53.042	0.108	0.4902	0.1220
62.942	0.108	1.1598	0.1498
73.242	0.108	1.8023	0.1660
82.742	0.108	1.6316	0.1484
92.942	0.108	1.1405	0.1188
103.142	0.108	0.8144	0.0969
113.042	0.108	0.4600	0.0729
122.842	0.108	0.1384	0.0467
132.542	0.108	0.1207	0.0426
143.242	0.108	0.1047	0.0388
152.942	0.108	0.8435	0.0787
163.042	0.108	0.0184	0.0266
173.342	0.108	-0.0058	0.0222
182.642	0.108	0.0219	0.0244
