#B rho	d(B rho)	n	dn
160.2	2.436	0.9639	1.3269
381.7	2.556	0.1700	0.5443
607.6	2.766	-0.2614	0.3214
833.6	3.046	0.1584	0.2535
1057.3	3.375	0.8020	0.2330
1278.8	3.738	1.5553	0.2296
1502.6	4.133	2.9170	0.2489
1726.3	4.549	3.3814	0.2405
1950.0	4.980	3.5212	0.2267
2173.8	5.423	3.0353	0.2002
2397.5	5.875	1.8748	0.1573
2621.2	6.334	1.0746	0.1235
2845.0	6.799	0.4239	0.0921
3068.7	7.269	-0.0080	0.0661
3292.4	7.742	0.0197	0.0631
3516.2	8.219	-0.0070	0.0577
3739.9	8.698	-0.0006	0.0546
3963.6	9.180	0.0277	0.0530
4055.4	9.378	0.0326	0.0521
