#B rho	d(B rho)	n	dn
285.1	2.492	-0.3139	0.6592
511.0	2.667	-0.0438	0.3755
734.8	2.916	-0.1218	0.2558
958.5	3.224	-0.1167	0.1947
1182.2	3.576	0.9084	0.2095
1294.1	3.764	3.2675	0.2807
1406.0	3.960	5.4741	0.3257
1517.8	4.161	7.8565	0.3635
1629.7	4.367	9.0196	0.3716
1853.4	4.792	9.4156	0.3531
2077.2	5.230	9.2523	0.3293
2300.9	5.679	7.7498	0.2872
2524.6	6.135	5.9198	0.2416
2750.6	6.603	3.7741	0.1888
2969.9	7.061	2.5162	0.1523
3195.8	7.538	1.2671	0.1119
3417.3	8.008	0.3732	0.0751
3643.3	8.491	0.1167	0.0594
3867.0	8.972	0.0579	0.0532
4068.4	9.406	0.0000	0.0475
