#U_C / V	d(U_C / V)	I_C / mV	d(I_C / mV)	I_C / nA	d(I_C / nA)
0	0.1	30	5	0.03	0.0050
5.7	0.1	240	10	0.24	0.0103
10.1	0.1	410	10	0.41	0.0108
15	0.1	600	10	0.60	0.0117
19.8	0.1	810	10	0.81	0.0129
25.5	0.1	1050	20	1.05	0.0226
30.3	0.1	1230	20	1.23	0.0235
34.1	0.1	1360	20	1.36	0.0242
40.4	0.1	1580	20	1.58	0.0255
45.4	0.1	1690	20	1.69	0.0262
49.1	0.1	1770	20	1.77	0.0267
59.5	0.1	1920	20	1.92	0.0277
70.3	0.1	1980	20	1.98	0.0281
81.3	0.1	2060	20	2.06	0.0287
89.4	0.1	2090	20	2.09	0.0289
101	0.1	2110	20	2.11	0.0291
120.2	0.1	2130	20	2.13	0.0292
141.6	0.1	2130	10	2.13	0.0235
159.9	0.1	2140	10	2.14	0.0236
179.5	0.1	2115	10	2.12	0.0234
200.3	0.1	2110	10	2.11	0.0233
226	0.1	2070	10	2.07	0.0230
251.2	0.1	2030	10	2.03	0.0226
276.1	0.1	2010	10	2.01	0.0225
300.2	0.1	2020	10	2.02	0.0225
325.3	0.1	2000	10	2.00	0.0224
351.3	0.1	1990	10	1.99	0.0223
371.5	0.1	1990	10	1.99	0.0223
