&b / °	R_0 / 1/s
2.0	33.6
2.1	32.9
2.2	31.2
2.3	32.2
2.4	30.7
2.5	31.0
2.6	31.5
2.7	32.6
2.8	32.1
2.9	33.3
3.0	35.5
3.1	37.8
3.2	47.1
3.3	84.0
3.4	209.9
3.5	376.8
3.6	514.4
3.7	672.9
3.8	815.3
3.9	900.4
4.0	983.4
4.1	1051.1
4.2	1075.3
4.3	1118.5
4.4	1135.6
4.5	1139.2
4.6	1148.5
4.7	1165.7
4.8	1159.6
4.9	1147.9
5.0	1132.1
5.1	1159.5
5.2	1141.2
5.3	1155.9
5.4	1153.5
5.5	1152.6
5.6	1155.7
5.7	1155.4
5.8	1130.2
5.9	1157.0
6.0	1134.8
6.1	1146.6
6.2	1140.5
6.3	1149.0
6.4	1115.5
6.5	1129.6
6.6	1094.5
6.7	1116.0
6.8	1100.9
6.9	1117.2
7.0	1117.7
7.1	1127.3
7.2	1108.4
7.3	1131.3
7.4	1135.4
7.5	1135.2
7.6	1140.9
7.7	1118.1
7.8	1122.2
7.9	1142.0
8.0	1109.2
8.1	1132.1
8.2	1105.0
8.3	1093.1
8.4	1105.7
8.5	1089.6
8.6	1069.2
8.7	1077.8
8.8	1047.8
8.9	1042.3
9.0	1019.9
9.1	1021.6
9.2	982.8
9.3	939.4
9.4	901.3
9.5	863.1
9.6	851.7
9.7	830.5
9.8	815.4
9.9	799.0
10.0	776.4
10.1	750.4
10.2	751.9
10.3	770.7
10.4	762.6
10.5	765.9
10.6	836.6
10.7	906.9
10.8	904.3
10.9	978.2
11.0	1190.0
11.1	1217.2
11.2	1069.7
11.3	917.0
11.4	775.6
11.5	700.1
11.6	665.5
11.7	638.0
11.8	628.9
11.9	615.9
12.0	600.4
12.1	629.1
12.2	643.3
12.3	687.1
12.4	857.8
12.5	1361.0
12.6	1645.8
12.7	1682.8
12.8	1732.4
12.9	2258.7
13.0	2389.3
13.1	2192.6
13.2	1725.3
13.3	1230.8
13.4	818.8
13.5	635.4
13.6	577.8
13.7	559.4
13.8	527.2
13.9	522.4
14.0	505.8
14.1	503.6
14.2	498.0
14.3	507.8
14.4	517.5
14.5	512.3
14.6	501.1
14.7	492.0
14.8	627.5
14.9	1539.2
15.0	2277.2
15.1	2388.8
15.2	2053.2
15.3	1403.4
15.4	808.1
15.5	458.7
15.6	382.3
15.7	369.4
15.8	352.8
15.9	342.2
16.0	337.7
16.1	324.0
16.2	314.8
16.3	318.6
16.4	302.6
16.5	321.2
16.6	298.9
16.7	296.9
16.8	294.6
16.9	294.2
17.0	300.2
17.1	312.8
17.2	317.9
17.3	313.7
17.4	277.0
17.5	266.2
17.6	243.2
17.7	233.1
17.8	229.7
17.9	233.8
18.0	230.9
18.1	234.8
18.2	222.6
18.3	225.4
18.4	219.1
18.5	215.8
18.6	198.0
18.7	201.8
18.8	201.2
18.9	192.0
19.0	184.4
19.1	181.0
19.2	181.9
19.3	173.1
19.4	171.5
19.5	170.9
19.6	167.2
19.7	170.9
19.8	158.3
19.9	179.4
20.0	175.7
20.1	174.5
20.2	157.7
20.3	146.2
20.4	147.1
20.5	147.0
20.6	146.6
20.7	142.7
20.8	141.0
20.9	148.3
21.0	142.5
21.1	144.7
21.2	148.4
21.3	149.1
21.4	137.4
21.5	134.9
21.6	134.8
21.7	135.5
21.8	141.9
21.9	170.4
22.0	176.3
22.1	180.9
22.2	156.8
22.3	139.3
22.4	141.6
22.5	134.9
22.6	178.7
22.7	277.4
22.8	278.7
22.9	227.8
23.0	158.2
23.1	134.4
23.2	125.3
23.3	123.2
23.4	121.4
23.5	121.6
23.6	120.0
23.7	113.0
23.8	113.2
23.9	111.3
24.0	110.7
24.1	110.9
24.2	107.2
24.3	110.2
24.4	103.6
24.5	101.2
24.6	104.7
24.7	100.0
24.8	101.0
24.9	103.4
25.0	103.5
