I_A1 / A	B_B1 / mT
0.00	6
0.00	6
0.00	6
0.00	6
0.01	6
0.01	6
0.01	6
0.00	6
0.00	7
0.01	6
0.00	6
0.01	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.01	6
0.00	5
0.01	6
0.34	34
0.28	30
0.47	46
0.50	48
0.56	53
0.53	50
0.73	69
0.70	66
0.76	70
0.83	78
0.86	80
0.92	85
0.98	90
0.90	86
0.96	91
0.98	91
0.99	94
0.98	93
1.04	97
1.05	98
1.02	96
1.05	97
1.07	100
1.07	100
1.07	100
1.07	101
1.14	105
1.11	104
1.13	106
1.16	107
1.23	115
1.48	138
1.41	133
1.56	146
1.44	137
1.56	146
1.50	142
1.53	145
1.53	145
1.54	145
1.57	148
1.62	151
1.68	157
1.72	161
1.72	161
1.75	164
1.84	173
1.87	176
2.00	188
1.93	182
1.97	186
1.99	188
2.06	193
2.08	195
2.09	196
2.11	196
2.08	196
2.08	196
2.14	201
2.19	206
2.21	207
2.21	208
2.25	213
2.27	214
2.28	214
2.39	224
2.42	226
2.43	228
2.43	229
2.45	230
2.58	242
2.55	240
2.57	241
2.64	248
2.64	248
2.70	254
2.74	257
2.80	264
2.82	265
2.88	270
2.88	272
2.91	274
2.94	278
3.01	284
3.07	289
3.11	292
3.10	293
3.11	294
3.25	306
3.26	307
3.26	307
3.34	316
3.35	316
3.44	325
3.44	326
3.56	335
3.66	345
3.78	356
3.84	361
3.81	360
3.92	368
3.87	367
3.94	371
3.97	374
3.99	374
3.97	375
4.02	378
4.03	379
4.08	383
4.06	383
4.14	389
4.14	388
4.20	394
4.23	397
4.33	407
4.27	402
4.32	406
4.45	416
4.55	425
4.69	437
4.69	437
4.69	437
4.73	441
4.78	444
4.76	445
4.78	444
4.82	449
4.94	457
4.89	456
5.06	467
4.97	463
5.03	465
5.28	484
5.16	478
5.31	485
5.25	483
5.29	485
5.35	490
5.32	488
5.44	496
5.47	498
5.55	503
5.58	505
5.61	507
5.65	510
5.71	513
5.72	515
5.75	515
5.83	521
5.87	525
5.95	527
6.01	531
6.01	530
5.99	531
6.05	534
6.08	535
6.11	536
6.10	536
6.14	539
6.17	539
6.18	541
6.35	549
6.30	547
6.32	548
6.41	551
6.39	551
6.42	552
6.45	553
6.58	559
6.64	563
6.64	562
6.72	566
6.73	566
6.72	566
6.75	567
6.81	570
6.81	570
6.79	569
6.91	574
6.90	573
6.96	575
7.00	576
7.00	577
7.07	581
7.13	582
7.12	582
7.13	583
7.18	584
7.16	584
7.27	587
7.24	586
7.22	586
7.30	588
7.27	588
7.31	589
7.39	591
7.42	592
7.50	596
7.47	595
7.55	598
7.62	600
7.64	600
7.67	602
7.67	602
7.76	605
7.74	604
7.88	608
7.92	610
7.90	609
7.96	611
7.98	612
8.02	614
8.04	613
8.08	615
8.10	615
8.11	616
8.20	619
8.20	618
8.17	618
8.25	620
8.33	623
8.38	624
8.41	625
8.42	625
8.39	625
8.35	624
8.33	623
8.35	624
8.33	623
8.36	624
8.33	624
8.38	625
8.39	624
8.45	626
8.45	627
8.51	627
8.62	631
8.75	635
8.72	634
8.74	634
8.75	634
8.78	636
8.82	637
8.82	637
8.88	638
8.94	640
9.08	643
9.11	644
9.17	646
9.18	647
9.24	648
9.31	650
9.34	651
9.36	651
9.36	651
9.40	653
9.42	653
9.49	655
9.55	656
9.60	657
9.64	658
9.65	659
9.63	658
9.64	658
9.64	658
9.64	658
9.65	658
9.63	658
9.64	658
9.63	658
9.63	658
9.64	658
9.64	658
9.61	658
9.64	658
9.65	658
9.64	658
9.65	658
9.65	658
9.65	658
9.64	658
9.63	658
9.65	658
9.64	658
9.64	658
9.65	658
9.64	658
9.65	659
9.64	658
9.65	658
9.65	658
9.67	658
9.67	659
9.65	658
9.64	659
9.65	658
9.63	658
9.67	659
