#U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.4	0.0
0.6	0.0
0.7	0.0
1.0	0.0
1.1	0.0
1.4	0.0
1.6	0.0
1.8	0.0
2.0	0.0
2.2	0.0
2.4	0.0
2.5	0.0
2.8	0.0
3.0	0.0
3.2	0.0
3.4	0.0
3.6	0.0
3.8	0.0
4.0	0.0
4.2	0.0
4.4	0.0
4.6	0.0
4.8	0.0
5.0	0.0
5.2	0.0
5.4	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.2	0.0
6.4	0.1
6.6	0.1
6.8	0.1
7.0	0.1
7.2	0.1
7.4	0.1
7.6	0.1
7.8	0.1
8.1	0.1
8.2	0.1
8.4	0.1
8.6	0.1
8.8	0.1
9.0	0.1
9.2	0.1
9.4	0.1
9.6	0.1
9.8	0.1
10.0	0.1
10.2	0.1
10.4	0.1
10.6	0.1
10.8	0.1
11.1	0.2
11.2	0.2
11.4	0.3
11.7	0.3
11.8	0.3
12.0	0.3
12.3	0.3
12.5	0.3
12.6	0.3
12.9	0.2
13.1	0.2
13.2	0.2
13.4	0.2
13.6	0.1
13.9	0.1
14.1	0.1
14.2	0.1
14.5	0.1
14.7	0.1
14.9	0.2
15.1	0.2
15.3	0.2
15.5	0.3
15.7	0.4
15.9	0.5
16.1	0.6
16.3	0.8
16.4	0.9
16.7	0.9
16.9	0.9
17.1	0.8
17.2	0.7
17.5	0.6
17.7	0.5
17.9	0.4
18.1	0.3
18.3	0.3
18.5	0.2
18.7	0.2
18.9	0.2
19.1	0.2
19.3	0.2
19.5	0.2
19.7	0.3
19.9	0.4
20.1	0.5
20.3	0.6
20.5	0.8
20.7	1.0
20.9	1.2
21.1	1.5
21.2	1.7
21.5	1.8
21.7	1.8
21.9	1.6
22.1	1.4
22.3	1.2
22.5	1.0
22.7	0.8
23.0	0.6
23.1	0.5
23.3	0.4
23.5	0.3
23.7	0.3
23.9	0.3
24.2	0.3
24.3	0.3
24.5	0.5
24.7	0.6
25.0	0.8
25.1	1.0
25.3	1.3
25.6	1.6
25.8	2.0
26.0	2.4
26.2	2.7
26.4	3.0
26.6	3.0
26.8	2.9
27.0	2.7
27.2	2.3
27.4	2.0
27.6	1.6
27.8	1.3
28.0	1.0
28.2	0.8
28.4	0.6
28.6	0.5
28.8	0.5
29.0	0.4
29.2	0.5
29.3	0.6
29.6	0.8
29.8	1.0
30.0	1.3
30.2	1.7
30.4	2.1
30.6	2.7
30.7	3.2
30.9	3.7
31.2	4.3
31.4	4.5
31.6	4.6
31.8	4.5
32.0	4.2
32.2	3.8
32.4	3.3
32.6	2.8
32.8	2.3
33.0	1.8
33.2	1.5
33.4	1.2
33.6	1.0
33.8	0.9
34.0	0.9
34.3	1.0
34.4	1.2
34.6	1.4
34.8	1.8
35.0	2.3
35.2	2.9
35.4	3.6
35.6	4.3
35.8	5.3
36.0	6.1
36.2	6.7
36.5	7.3
36.7	7.5
36.8	7.4
37.0	7.2
37.2	6.7
37.4	6.0
37.6	5.4
37.9	4.5
38.1	3.9
38.2	3.2
38.4	2.8
38.6	2.5
38.9	2.2
39.0	2.2
39.3	2.3
39.5	2.5
39.6	3.0
39.8	3.7
40.0	4.4
40.3	5.5
40.5	6.7
40.7	8.3
40.9	9.7
41.1	10.3
41.3	10.3
41.4	10.3
41.7	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
