# T=160, U1=42,0, u2=2,0 U3
#U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.3	0.0
0.5	0.0
0.7	0.0
0.9	0.0
1.1	0.0
1.3	0.0
1.5	0.0
1.7	0.0
1.9	0.0
2.2	0.0
2.3	0.0
2.5	0.0
2.7	0.0
2.9	0.0
3.1	0.0
3.4	0.0
3.5	0.0
3.7	0.0
3.9	0.0
4.2	0.0
4.3	0.0
4.5	0.0
4.7	0.0
5.0	0.0
5.1	0.0
5.4	0.0
5.5	0.0
5.7	0.0
5.9	0.0
6.1	0.0
6.3	0.1
6.6	0.1
6.8	0.1
7.0	0.1
7.1	0.1
7.4	0.1
7.6	0.1
7.8	0.1
8.0	0.1
8.2	0.1
8.4	0.1
8.6	0.1
8.8	0.1
9.0	0.1
9.2	0.1
9.4	0.1
9.6	0.1
9.8	0.1
10.0	0.1
10.1	0.1
10.4	0.2
10.6	0.2
10.8	0.3
11.0	0.3
11.2	0.4
11.4	0.4
11.5	0.5
11.8	0.5
12.0	0.5
12.2	0.5
12.4	0.5
12.6	0.4
12.8	0.4
13.0	0.3
13.2	0.3
13.4	0.2
13.6	0.2
13.8	0.2
14.0	0.2
14.2	0.2
14.4	0.2
14.6	0.3
14.8	0.3
15.0	0.4
15.2	0.5
15.4	0.6
15.6	0.7
15.8	0.9
16.0	1.0
16.2	1.2
16.4	1.3
16.6	1.4
16.8	1.4
17.0	1.2
17.2	1.1
17.4	0.9
17.6	0.8
17.8	0.6
18.0	0.5
18.2	0.4
18.4	0.4
18.7	0.3
18.8	0.3
19.0	0.4
19.2	0.4
19.4	0.4
19.6	0.6
19.9	0.7
20.1	0.9
20.2	1.1
20.4	1.3
20.6	1.5
20.9	1.8
21.0	2.1
21.2	2.4
21.5	2.5
21.7	2.4
21.9	2.2
22.0	1.9
22.2	1.6
22.5	1.3
22.7	1.0
22.9	0.8
23.1	0.6
23.2	0.5
23.5	0.5
23.7	0.5
23.9	0.5
24.1	0.6
24.3	0.7
24.5	0.9
24.7	1.2
24.9	1.4
25.1	1.7
25.3	2.1
25.5	2.5
25.7	3.0
25.9	3.4
26.1	3.9
26.3	4.2
26.5	4.2
26.7	4.0
26.9	3.6
27.1	3.2
27.3	2.7
27.5	2.1
27.7	1.7
27.9	1.4
28.1	1.1
28.3	0.9
28.5	0.8
28.7	0.8
29.0	0.9
29.1	1.1
29.3	1.3
29.5	1.6
29.7	1.9
29.9	2.4
30.1	2.9
30.3	3.4
30.5	4.0
30.7	4.7
30.9	5.4
31.1	5.9
31.3	6.3
31.5	6.3
31.7	6.1
31.9	5.7
32.1	5.0
32.3	4.3
32.5	3.6
32.7	3.1
32.9	2.4
33.1	2.0
33.3	1.7
33.5	1.6
33.8	1.6
33.9	1.7
34.1	1.9
34.3	2.2
34.6	2.7
34.7	3.2
34.9	3.9
35.1	4.6
35.3	5.6
35.5	6.6
35.7	7.6
35.9	8.5
36.2	9.3
36.4	9.8
36.6	9.9
36.8	9.8
36.9	9.4
37.2	8.6
37.4	7.8
37.5	6.8
37.8	5.9
38.0	5.1
38.2	4.4
38.4	3.9
38.6	3.6
38.7	3.5
39.0	3.7
39.2	4.0
39.4	4.5
39.6	5.3
39.8	6.2
40.0	7.4
40.2	8.6
40.4	10.0
40.6	10.3
40.8	10.3
41.0	10.3
41.2	10.3
41.4	10.3
41.7	10.3
41.8	10.3
42.0	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
