#U_B / V	U_A / V
0.1	0.0
0.0	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.2	0.0
0.1	0.0
0.2	0.0
0.4	0.0
0.5	0.0
0.7	0.0
1.0	0.0
1.1	0.0
1.4	0.0
1.5	0.0
1.8	0.0
1.9	0.0
2.1	0.0
2.4	0.0
2.6	0.0
2.7	0.0
3.0	0.0
3.1	0.0
3.3	0.0
3.5	0.0
3.7	0.0
4.0	0.0
4.2	0.0
4.4	0.0
4.6	0.0
4.8	0.0
5.0	0.0
5.1	0.0
5.4	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.5	0.0
6.8	0.0
7.0	0.0
7.2	0.0
7.4	0.0
7.6	0.0
7.8	0.0
8.0	0.0
8.2	0.0
8.4	0.0
8.6	0.0
8.8	0.0
9.0	0.0
9.2	0.0
9.4	0.0
9.6	0.0
9.8	0.0
10.0	0.0
10.2	0.0
10.4	0.0
10.6	0.0
10.8	0.0
11.0	0.0
11.2	0.0
11.4	0.0
11.6	0.0
11.8	0.0
12.0	0.0
12.2	0.0
12.4	0.0
12.6	0.0
12.8	0.0
13.0	0.0
13.2	0.0
13.4	0.0
13.7	0.0
13.8	0.0
14.0	0.0
14.2	0.0
14.4	0.0
14.7	0.0
14.8	0.0
15.0	0.0
15.2	0.0
15.4	0.0
15.7	0.0
15.9	0.0
16.0	0.0
16.2	0.0
16.4	0.0
16.7	0.0
16.8	0.0
17.1	0.0
17.2	0.0
17.4	0.0
17.6	0.0
17.9	0.0
18.0	0.0
18.2	0.0
18.5	0.0
18.7	0.0
18.8	0.0
19.1	0.0
19.3	0.0
19.5	0.0
19.6	0.0
19.9	0.0
20.0	0.0
20.3	0.0
20.5	0.0
20.7	0.0
20.9	0.0
21.1	0.0
21.2	0.0
21.4	0.0
21.7	0.0
21.9	0.1
22.1	0.0
22.2	0.1
22.5	0.0
22.6	0.0
22.9	0.0
23.1	0.0
23.3	0.0
23.5	0.0
23.7	0.0
23.9	0.0
24.1	0.0
24.3	0.0
24.6	0.0
24.7	0.0
24.9	0.0
25.1	0.0
25.3	0.0
25.5	0.0
25.7	0.0
25.9	0.0
26.1	0.0
26.3	0.1
26.5	0.1
26.7	0.1
26.9	0.1
27.2	0.1
27.3	0.1
27.5	0.1
27.7	0.1
27.9	0.1
28.1	0.0
28.4	0.0
28.6	0.0
28.7	0.0
28.9	0.0
29.1	0.0
29.3	0.0
29.5	0.0
29.7	0.0
30.0	0.0
30.2	0.0
30.4	0.0
30.6	0.0
30.8	0.0
31.0	0.0
31.2	0.1
31.3	0.1
31.6	0.1
31.8	0.1
32.0	0.2
32.2	0.2
32.3	0.2
32.6	0.2
32.8	0.1
33.0	0.1
33.2	0.1
33.4	0.1
33.6	0.1
33.7	0.1
34.0	0.0
34.2	0.0
34.3	0.0
34.6	0.0
34.8	0.0
35.0	0.0
35.2	0.0
35.4	0.0
35.6	0.0
35.8	0.0
36.0	0.1
36.2	0.1
36.4	0.2
36.6	0.2
36.8	0.3
37.0	0.3
37.2	0.3
37.4	0.3
37.6	0.3
37.8	0.3
38.0	0.2
38.2	0.2
38.5	0.2
38.6	0.1
38.8	0.1
39.0	0.1
39.2	0.1
39.4	0.1
39.6	0.0
39.8	0.0
40.0	0.0
40.2	0.0
40.4	0.0
40.7	0.0
40.8	0.1
41.0	0.2
41.2	0.2
41.4	0.3
41.7	0.5
41.9	0.6
41.9	0.7
42.0	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
42.0	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
41.9	0.7
