#U_B / V	U_A / V
0.0	0.0
0.1	0.0
0.1	0.0
0.0	0.0
0.3	0.0
0.5	0.0
0.7	0.0
1.0	0.0
1.2	0.0
1.4	0.0
1.7	0.0
1.9	0.0
2.1	0.0
2.4	0.0
2.5	0.0
2.8	0.0
3.1	0.0
3.2	0.0
3.5	0.0
3.8	0.0
3.9	0.0
4.2	0.0
4.4	0.0
4.7	0.0
4.9	0.0
5.1	0.0
5.3	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.3	0.0
6.5	0.0
6.7	0.0
7.0	0.0
7.2	0.0
7.4	0.0
7.7	0.0
7.9	0.0
8.1	0.0
8.3	0.0
8.6	0.0
8.8	0.0
9.0	0.0
9.2	0.0
9.5	0.0
9.7	0.0
10.0	0.0
10.2	0.0
10.4	0.0
10.6	0.0
10.9	0.0
11.1	0.1
11.3	0.1
11.5	0.1
11.8	0.1
12.0	0.1
12.2	0.1
12.5	0.1
12.7	0.1
12.9	0.1
13.2	0.1
13.4	0.1
13.6	0.1
13.9	0.1
14.1	0.1
14.3	0.1
14.5	0.1
14.8	0.1
15.0	0.2
15.2	0.3
15.5	0.3
15.7	0.4
15.9	0.5
16.2	0.7
16.4	0.8
16.6	0.9
16.9	0.9
17.1	0.8
17.3	0.7
17.5	0.6
17.8	0.5
18.0	0.4
18.2	0.3
18.5	0.3
18.7	0.2
18.9	0.3
19.2	0.3
19.4	0.3
19.6	0.4
19.8	0.5
20.1	0.7
20.3	0.9
20.6	1.1
20.8	1.3
20.9	1.6
21.2	1.9
21.5	2.0
21.7	1.9
21.9	1.7
22.2	1.5
22.4	1.2
22.6	0.9
22.8	0.7
23.1	0.6
23.3	0.4
23.6	0.4
23.8	0.4
23.9	0.5
24.2	0.5
24.5	0.7
24.7	0.9
24.9	1.1
25.1	1.4
25.4	1.8
25.6	2.2
25.9	2.6
26.1	3.0
26.3	3.3
26.5	3.3
26.8	3.0
27.0	2.7
27.2	2.3
27.5	1.8
27.7	1.4
27.9	1.1
28.2	0.8
28.4	0.7
28.6	0.6
28.9	0.7
29.2	0.8
29.3	1.0
29.5	1.3
29.8	1.6
30.0	2.0
30.2	2.5
30.5	3.1
30.7	3.6
30.9	4.3
31.1	4.8
31.3	5.0
31.6	4.9
31.8	4.6
32.1	4.1
32.3	3.4
32.5	2.7
32.7	2.2
33.0	1.7
33.2	1.4
33.4	1.2
33.7	1.1
33.9	1.2
34.1	1.4
34.4	1.8
34.6	2.2
34.8	2.7
35.0	3.4
35.3	4.1
35.5	4.9
35.7	5.9
36.0	6.7
36.2	7.2
36.5	7.5
36.7	7.4
36.9	7.0
37.1	6.3
37.4	5.5
37.6	4.7
37.8	3.8
38.1	3.2
38.3	2.7
38.5	2.4
38.7	2.3
38.9	2.5
39.2	2.7
39.4	3.2
39.7	3.9
39.9	4.8
40.1	5.8
40.4	7.2
40.6	8.4
40.8	9.8
41.0	10.3
41.3	10.3
41.5	10.3
41.7	10.3
42.0	10.3
42.2	10.3
42.5	10.3
42.7	9.3
42.9	8.2
43.1	7.2
43.4	6.4
43.6	5.9
43.8	5.7
44.0	5.9
44.3	6.3
44.5	7.2
44.7	8.5
45.0	10.0
45.3	10.3
45.4	10.3
45.7	10.3
45.9	10.3
46.1	10.3
46.4	10.3
46.6	10.3
46.8	10.3
47.1	10.3
47.3	10.3
47.5	10.3
47.7	10.3
48.0	10.3
47.9	10.3
47.9	10.3
47.9	10.3
48.0	10.3
48.0	10.3
47.9	10.3
47.9	10.3
48.0	10.3
47.9	10.3
47.9	10.3
48.0	10.3
47.9	10.3
47.9	10.3
47.9	10.3
47.9	10.3
47.9	10.3
47.9	10.3
48.0	10.3
47.9	10.3
48.0	10.3
