#Gegenspannung 2V
#U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.3	0.0
0.6	0.0
0.9	0.0
1.2	0.0
1.4	0.0
1.6	0.0
1.9	0.0
2.1	0.0
2.4	0.0
2.7	0.0
2.9	0.0
3.2	0.0
3.4	0.0
3.7	0.0
3.9	0.0
4.2	0.0
4.4	0.0
4.7	0.0
5.0	0.0
5.2	0.0
5.4	0.0
5.7	0.0
6.0	0.0
6.2	0.0
6.5	0.0
6.7	0.0
7.0	0.0
7.3	0.0
7.5	0.0
7.7	0.0
8.0	0.0
8.3	0.0
8.5	0.0
8.8	0.0
9.0	0.0
9.3	0.0
9.5	0.0
9.8	0.0
10.0	0.0
10.3	0.0
10.6	0.1
10.8	0.1
11.1	0.1
11.3	0.1
11.5	0.2
11.8	0.2
12.1	0.2
12.3	0.2
12.6	0.2
12.8	0.2
13.1	0.2
13.3	0.2
13.6	0.1
13.8	0.1
14.1	0.1
14.3	0.1
14.6	0.1
14.8	0.2
15.1	0.2
15.4	0.2
15.6	0.3
15.8	0.4
16.1	0.5
16.4	0.6
16.6	0.6
16.9	0.6
17.1	0.6
17.4	0.5
17.6	0.4
17.9	0.4
18.2	0.3
18.5	0.2
18.6	0.2
18.9	0.2
19.1	0.2
19.4	0.2
19.7	0.3
20.0	0.4
20.2	0.5
20.4	0.6
20.7	0.8
21.0	1.0
21.2	1.2
21.5	1.3
21.7	1.3
22.0	1.1
22.2	1.0
22.5	0.8
22.8	0.6
23.0	0.5
23.2	0.4
23.5	0.3
23.8	0.3
24.0	0.3
24.3	0.4
24.5	0.5
24.8	0.6
25.0	0.8
25.3	1.1
25.5	1.4
25.8	1.7
26.1	2.0
26.3	2.2
26.6	2.2
26.8	1.9
27.1	1.6
27.3	1.3
27.6	1.0
27.9	0.8
28.1	0.6
28.3	0.5
28.6	0.4
28.9	0.5
29.1	0.6
29.3	0.7
29.6	0.9
29.8	1.2
30.1	1.5
30.4	1.9
30.6	2.4
30.9	2.9
31.1	3.2
31.4	3.3
31.6	3.1
31.9	2.8
32.2	2.3
32.4	1.8
32.7	1.4
32.9	1.0
33.2	0.8
33.4	0.7
33.7	0.7
33.9	0.8
34.2	1.0
34.4	1.3
34.7	1.6
35.0	2.1
35.2	2.6
35.5	3.3
35.7	3.9
36.0	4.4
36.2	4.7
36.6	4.7
36.7	4.4
37.0	3.9
37.2	3.2
37.5	2.6
37.8	2.0
38.0	1.6
38.3	1.3
38.5	1.2
38.8	1.2
39.0	1.4
39.3	1.7
39.5	2.2
39.8	2.7
40.0	3.3
40.3	4.2
40.5	5.1
40.8	5.9
41.0	6.5
41.4	6.8
41.6	6.7
41.8	6.3
42.1	5.6
42.4	4.7
42.6	3.9
42.8	3.2
43.1	2.6
43.3	2.2
43.6	2.1
43.9	2.2
44.1	2.4
44.4	2.9
44.6	3.5
44.9	4.4
45.1	5.4
45.4	6.6
45.7	7.8
45.9	8.9
46.2	9.6
46.4	10.0
46.6	10.0
46.9	9.4
47.2	8.7
47.4	7.6
47.7	6.6
47.9	5.6
48.2	4.9
48.4	4.3
48.7	4.1
49.0	4.2
49.2	4.6
49.5	5.3
49.7	6.3
50.0	7.7
50.2	9.2
50.5	10.3
50.7	10.3
51.0	10.3
51.3	10.3
51.5	10.3
51.8	10.3
52.0	10.3
52.2	10.3
52.6	10.3
52.8	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
52.9	10.3
