&b / °	R_0 / 1/s
28.50	1.717
28.51	1.767
28.52	1.667
28.53	1.675
28.54	1.575
28.55	1.625
28.56	1.517
28.57	1.500
28.58	1.625
28.59	1.708
28.60	1.825
28.61	1.592
28.62	1.600
28.63	1.550
28.64	1.650
28.65	1.767
28.66	1.617
28.67	1.750
28.68	1.575
28.69	1.583
28.70	1.508
28.71	1.733
28.72	1.667
28.73	1.508
28.74	1.892
28.75	1.792
28.76	1.667
28.77	1.658
28.78	1.575
28.79	1.508
28.80	1.692
28.81	1.608
28.82	1.850
28.83	1.850
28.84	1.517
28.85	1.633
28.86	1.758
28.87	1.733
28.88	1.625
28.89	1.850
28.90	1.600
28.91	1.575
28.92	1.650
28.93	1.625
28.94	1.542
28.95	1.700
28.96	1.742
28.97	1.592
28.98	1.717
28.99	1.775
29.00	1.725
29.01	1.625
29.02	1.833
29.03	1.750
29.04	1.350
29.05	1.742
29.06	1.467
29.07	1.792
29.08	1.625
29.09	1.733
29.10	1.600
29.11	1.850
29.12	1.675
29.13	1.575
29.14	1.567
29.15	1.608
29.16	1.650
29.17	1.558
29.18	1.775
29.19	1.742
29.20	1.725
29.21	1.850
29.22	1.608
29.23	1.675
29.24	1.525
29.25	1.592
29.26	1.633
29.27	1.800
29.28	1.633
29.29	1.708
29.30	1.675
29.31	1.817
29.32	1.725
29.33	1.642
29.34	1.650
29.35	1.625
29.36	1.658
29.37	1.608
29.38	1.625
29.39	1.517
29.40	1.617
29.41	1.558
29.42	1.675
29.43	1.717
29.44	1.750
29.45	1.467
29.46	1.608
29.47	1.583
29.48	1.508
29.49	1.508
29.50	1.508
29.51	1.717
29.52	1.592
29.53	1.658
29.54	1.625
29.55	1.458
29.56	1.458
29.57	1.683
29.58	1.608
29.59	1.633
29.60	1.575
29.61	1.500
29.62	1.608
29.63	1.658
29.64	1.817
29.65	1.467
29.66	1.517
29.67	1.750
29.68	1.708
29.69	1.533
29.70	1.542
29.71	1.458
29.72	1.700
29.73	1.617
29.74	1.550
29.75	1.583
29.76	1.600
29.77	1.742
29.78	1.500
29.79	1.433
29.80	1.658
29.81	1.542
29.82	1.408
29.83	1.608
29.84	1.908
29.85	1.658
29.86	1.492
29.87	1.583
29.88	1.458
29.89	1.700
29.90	1.758
29.91	1.558
29.92	1.625
29.93	1.383
29.94	1.583
29.95	1.675
29.96	1.442
29.97	1.683
29.98	1.825
29.99	2.042
30.00	1.975
30.01	2.033
30.02	1.792
30.03	2.250
30.04	2.342
30.05	2.325
30.06	2.617
30.07	2.775
30.08	2.950
30.09	3.583
30.10	3.742
30.11	4.225
30.12	4.817
30.13	5.392
30.14	5.700
30.15	5.967
30.16	6.583
30.17	7.067
30.18	7.158
30.19	7.108
30.20	6.783
30.21	6.600
30.22	5.883
30.23	5.450
30.24	4.417
30.25	4.108
30.26	3.725
30.27	3.667
30.28	3.475
30.29	2.975
30.30	3.083
30.31	3.308
30.32	3.558
30.33	3.642
30.34	3.833
30.35	4.108
30.36	3.933
30.37	4.867
30.38	4.500
30.39	4.433
30.40	4.417
30.41	4.192
30.42	3.858
30.43	3.558
30.44	3.317
30.45	3.008
30.46	2.750
30.47	2.400
30.48	2.142
30.49	1.975
30.50	1.942
30.51	1.767
30.52	1.767
30.53	1.758
30.54	1.575
30.55	1.508
30.56	1.625
30.57	1.825
30.58	1.567
30.59	1.608
30.60	1.608
30.61	1.508
30.62	1.683
30.63	1.475
30.64	1.575
30.65	1.467
30.66	1.583
30.67	1.658
30.68	1.425
30.69	1.750
30.70	1.400
30.71	1.758
30.72	1.667
30.73	1.342
30.74	1.575
