n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	2
31	4
32	7
33	3
34	8
35	9
36	12
37	13
38	14
39	12
40	16
41	19
42	20
43	17
44	17
45	23
46	15
47	36
48	24
49	11
50	32
51	28
52	29
53	34
54	27
55	26
56	37
57	32
58	27
59	33
60	33
61	32
62	30
63	35
64	37
65	36
66	36
67	41
68	41
69	42
70	41
71	46
72	60
73	63
74	53
75	54
76	83
77	56
78	64
79	70
80	80
81	74
82	71
83	56
84	55
85	63
86	71
87	71
88	74
89	79
90	84
91	106
92	97
93	137
94	206
95	327
96	499
97	827
98	1338
99	2012
100	3122
101	4270
102	5408
103	6519
104	7503
105	7552
106	7026
107	6334
108	4939
109	3408
110	2389
111	1838
112	1453
113	1429
114	1380
115	1243
116	1106
117	973
118	674
119	476
120	263
121	199
122	139
123	112
124	95
125	76
126	78
127	88
128	92
129	111
130	153
131	225
132	284
133	357
134	488
135	591
136	674
137	780
138	754
139	697
140	591
141	411
142	237
143	141
144	118
145	75
146	72
147	72
148	95
149	132
150	130
151	152
152	135
153	159
154	125
155	109
156	97
157	76
158	71
159	60
160	53
161	31
162	35
163	38
164	28
165	40
166	29
167	24
168	21
169	20
170	12
171	12
172	24
173	16
174	19
175	16
176	18
177	14
178	20
179	14
180	21
181	18
182	19
183	35
184	20
185	18
186	23
187	28
188	18
189	25
190	18
191	14
192	24
193	27
194	22
195	25
196	26
197	23
198	18
199	14
200	14
201	15
202	15
203	11
204	5
205	10
206	9
207	9
208	8
209	6
210	5
211	8
212	3
213	5
214	4
215	1
216	5
217	2
218	2
219	4
220	5
221	5
222	4
223	3
224	4
225	7
226	8
227	5
228	3
229	3
230	2
231	4
232	3
233	3
234	3
235	1
236	3
237	2
238	1
239	1
240	0
241	2
242	3
243	1
244	2
245	1
246	2
247	0
248	0
249	1
250	2
251	0
252	1
253	2
254	2
255	0
256	0
257	2
258	0
259	1
260	1
261	2
262	1
263	2
264	0
265	1
266	5
267	2
268	2
269	2
270	2
271	1
272	0
273	1
274	2
275	1
276	1
277	0
278	0
279	1
280	2
281	1
282	0
283	1
284	1
285	1
286	0
287	2
288	1
289	0
290	2
291	0
292	1
293	1
294	0
295	0
296	0
297	0
298	0
299	1
300	1
301	0
302	0
303	0
304	1
305	0
306	0
307	0
308	0
309	1
310	0
311	1
312	0
313	0
314	0
315	1
316	0
317	0
318	1
319	0
320	1
321	0
322	0
323	2
324	1
325	0
326	0
327	1
328	0
329	0
330	0
331	1
332	0
333	0
334	1
335	0
336	1
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	1
347	0
348	1
349	0
350	0
351	0
352	0
353	1
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	1
365	0
366	0
367	0
368	0
369	1
370	0
371	0
372	1
373	0
374	1
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	1
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	2
397	0
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	1
408	0
409	1
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	1
428	0
429	0
430	0
431	1
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	1
443	0
444	1
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	1
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
