n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	1
32	1
33	6
34	2
35	6
36	12
37	9
38	10
39	15
40	10
41	16
42	24
43	17
44	16
45	26
46	16
47	22
48	21
49	30
50	25
51	28
52	22
53	20
54	24
55	21
56	30
57	32
58	27
59	25
60	23
61	26
62	26
63	45
64	30
65	42
66	21
67	40
68	40
69	31
70	45
71	36
72	66
73	53
74	51
75	61
76	66
77	63
78	93
79	124
80	139
81	171
82	187
83	221
84	223
85	299
86	282
87	265
88	329
89	345
90	332
91	442
92	492
93	526
94	510
95	490
96	440
97	426
98	339
99	341
100	319
101	300
102	322
103	371
104	416
105	539
106	614
107	840
108	1176
109	1487
110	1880
111	2334
112	2733
113	2938
114	2824
115	2466
116	1989
117	1392
118	900
119	652
120	507
121	428
122	469
123	501
124	483
125	533
126	486
127	454
128	372
129	260
130	211
131	206
132	133
133	104
134	66
135	48
136	47
137	60
138	47
139	52
140	41
141	45
142	37
143	49
144	24
145	26
146	22
147	13
148	14
149	14
150	17
151	17
152	13
153	13
154	8
155	16
156	13
157	13
158	12
159	14
160	17
161	9
162	11
163	13
164	23
165	20
166	14
167	18
168	7
169	14
170	15
171	13
172	14
173	15
174	14
175	21
176	13
177	4
178	13
179	13
180	9
181	24
182	6
183	12
184	14
185	16
186	6
187	15
188	11
189	5
190	5
191	15
192	15
193	12
194	8
195	9
196	9
197	12
198	5
199	6
200	8
201	9
202	5
203	5
204	7
205	4
206	14
207	12
208	8
209	11
210	10
211	12
212	5
213	9
214	3
215	7
216	9
217	6
218	7
219	9
220	4
221	4
222	5
223	4
224	6
225	6
226	5
227	4
228	3
229	3
230	5
231	2
232	7
233	2
234	3
235	3
236	3
237	6
238	4
239	4
240	5
241	4
242	4
243	2
244	2
245	4
246	4
247	2
248	5
249	2
250	1
251	5
252	4
253	3
254	2
255	1
256	3
257	3
258	5
259	2
260	1
261	4
262	0
263	4
264	3
265	1
266	4
267	2
268	4
269	3
270	1
271	1
272	2
273	1
274	5
275	0
276	3
277	3
278	2
279	2
280	1
281	2
282	3
283	4
284	2
285	2
286	3
287	1
288	3
289	2
290	2
291	1
292	1
293	1
294	2
295	0
296	0
297	2
298	2
299	0
300	1
301	1
302	3
303	2
304	1
305	1
306	1
307	5
308	2
309	0
310	2
311	2
312	0
313	3
314	2
315	0
316	3
317	3
318	0
319	1
320	1
321	1
322	0
323	0
324	2
325	2
326	2
327	3
328	0
329	4
330	0
331	2
332	1
333	1
334	0
335	1
336	2
337	0
338	0
339	2
340	1
341	2
342	2
343	1
344	2
345	0
346	0
347	1
348	2
349	0
350	0
351	1
352	1
353	1
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	2
363	0
364	0
365	3
366	1
367	3
368	0
369	0
370	1
371	2
372	1
373	2
374	0
375	2
376	2
377	2
378	0
379	0
380	0
381	0
382	2
383	0
384	2
385	0
386	0
387	2
388	0
389	1
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	1
402	2
403	0
404	0
405	0
406	0
407	0
408	0
409	1
410	0
411	0
412	1
413	1
414	1
415	0
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	1
435	0
436	0
437	0
438	1
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	1
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
