#n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	2
35	1
36	1
37	3
38	1
39	5
40	3
41	3
42	6
43	3
44	2
45	3
46	2
47	8
48	4
49	1
50	1
51	10
52	4
53	5
54	2
55	4
56	5
57	5
58	3
59	3
60	3
61	1
62	4
63	5
64	3
65	4
66	8
67	4
68	5
69	2
70	4
71	9
72	0
73	4
74	2
75	5
76	5
77	2
78	3
79	3
80	4
81	5
82	4
83	4
84	2
85	6
86	5
87	4
88	3
89	6
90	6
91	3
92	4
93	8
94	4
95	5
96	3
97	6
98	6
99	9
100	12
101	10
102	12
103	17
104	14
105	17
106	9
107	19
108	9
109	10
110	15
111	11
112	13
113	14
114	13
115	18
116	25
117	11
118	25
119	23
120	25
121	34
122	40
123	47
124	62
125	93
126	143
127	134
128	184
129	230
130	215
131	212
132	196
133	121
134	81
135	67
136	43
137	33
138	45
139	41
140	48
141	67
142	68
143	82
144	74
145	71
146	67
147	62
148	39
149	35
150	37
151	24
152	25
153	14
154	16
155	16
156	24
157	42
158	48
159	92
160	133
161	213
162	324
163	383
164	511
165	585
166	597
167	546
168	510
169	400
170	277
171	185
172	89
173	44
174	33
175	32
176	17
177	19
178	15
179	14
180	21
181	15
182	15
183	11
184	19
185	13
186	19
187	39
188	34
189	62
190	109
191	159
192	181
193	249
194	311
195	354
196	352
197	373
198	308
199	223
200	169
201	105
202	56
203	33
204	25
205	15
206	10
207	6
208	3
209	3
210	3
211	5
212	2
213	1
214	3
215	6
216	4
217	2
218	4
219	4
220	11
221	8
222	17
223	25
224	22
225	17
226	20
227	31
228	34
229	26
230	24
231	18
232	16
233	12
234	13
235	7
236	6
237	6
238	2
239	2
240	0
241	4
242	3
243	1
244	1
245	3
246	4
247	1
248	2
249	1
250	1
251	0
252	1
253	2
254	1
255	4
256	2
257	0
258	2
259	1
260	1
261	2
262	0
263	0
264	2
265	1
266	1
267	1
268	0
269	1
270	0
271	0
272	2
273	0
274	0
275	2
276	1
277	0
278	1
279	2
280	1
281	2
282	1
283	0
284	1
285	0
286	0
287	1
288	1
289	1
290	1
291	1
292	0
293	0
294	0
295	1
296	0
297	2
298	0
299	0
300	0
301	1
302	0
303	1
304	1
305	1
306	1
307	0
308	1
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	1
317	0
318	0
319	1
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	1
328	1
329	1
330	0
331	1
332	0
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	1
344	1
345	1
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	1
366	0
367	1
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	1
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	1
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
