#n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	0
29	1
30	3
31	3
32	3
33	3
34	6
35	14
36	10
37	9
38	12
39	9
40	14
41	19
42	13
43	15
44	21
45	21
46	19
47	27
48	22
49	22
50	25
51	25
52	22
53	35
54	27
55	38
56	41
57	38
58	26
59	39
60	36
61	23
62	35
63	34
64	57
65	45
66	42
67	29
68	39
69	35
70	50
71	53
72	50
73	78
74	82
75	59
76	89
77	80
78	77
79	79
80	88
81	80
82	59
83	87
84	88
85	76
86	62
87	84
88	91
89	87
90	95
91	86
92	139
93	155
94	280
95	451
96	785
97	1304
98	2089
99	3193
100	4453
101	5900
102	7504
103	8769
104	9954
105	9861
106	8991
107	7503
108	5982
109	4224
110	3056
111	2308
112	2014
113	1807
114	1681
115	1573
116	1325
117	1049
118	757
119	479
120	321
121	175
122	102
123	73
124	64
125	58
126	52
127	41
128	47
129	44
130	37
131	48
132	41
133	35
134	29
135	28
136	25
137	35
138	34
139	30
140	25
141	35
142	41
143	38
144	29
145	31
146	42
147	42
148	54
149	63
150	71
151	89
152	116
153	113
154	101
155	117
156	114
157	105
158	104
159	73
160	65
161	70
162	55
163	59
164	50
165	42
166	38
167	36
168	37
169	32
170	24
171	29
172	21
173	20
174	23
175	21
176	22
177	21
178	19
179	34
180	13
181	21
182	26
183	21
184	23
185	21
186	19
187	30
188	20
189	20
190	24
191	33
192	23
193	27
194	25
195	23
196	34
197	22
198	21
199	25
200	22
201	15
202	15
203	13
204	7
205	6
206	10
207	14
208	7
209	5
210	8
211	3
212	6
213	2
214	1
215	3
216	9
217	2
218	3
219	5
220	2
221	3
222	2
223	2
224	1
225	2
226	3
227	3
228	2
229	1
230	1
231	1
232	1
233	3
234	0
235	4
236	1
237	2
238	4
239	4
240	0
241	1
242	0
243	0
244	0
245	2
246	1
247	3
248	0
249	2
250	3
251	0
252	1
253	0
254	1
255	0
256	3
257	1
258	0
259	1
260	3
261	0
262	4
263	0
264	2
265	0
266	1
267	1
268	1
269	1
270	0
271	0
272	0
273	1
274	0
275	0
276	0
277	0
278	0
279	2
280	0
281	1
282	0
283	1
284	0
285	1
286	2
287	2
288	0
289	1
290	0
291	0
292	1
293	1
294	0
295	1
296	0
297	0
298	0
299	0
300	0
301	0
302	1
303	0
304	1
305	0
306	0
307	1
308	0
309	0
310	0
311	0
312	1
313	0
314	0
315	0
316	2
317	1
318	1
319	0
320	1
321	0
322	2
323	0
324	1
325	0
326	0
327	1
328	2
329	0
330	1
331	2
332	0
333	1
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	1
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	0
365	1
366	1
367	0
368	0
369	0
370	1
371	1
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	0
382	0
383	0
384	1
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
