#n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	0
36	1
37	0
38	3
39	2
40	3
41	1
42	1
43	5
44	3
45	0
46	3
47	2
48	3
49	5
50	3
51	3
52	3
53	3
54	2
55	4
56	3
57	3
58	2
59	1
60	3
61	6
62	3
63	2
64	2
65	2
66	3
67	3
68	3
69	4
70	5
71	1
72	5
73	2
74	2
75	6
76	3
77	3
78	7
79	4
80	3
81	4
82	2
83	7
84	3
85	3
86	1
87	4
88	5
89	3
90	3
91	4
92	4
93	3
94	2
95	5
96	5
97	4
98	4
99	4
100	13
101	8
102	14
103	21
104	10
105	15
106	10
107	13
108	15
109	11
110	15
111	13
112	16
113	14
114	16
115	7
116	11
117	12
118	21
119	36
120	25
121	31
122	41
123	55
124	95
125	114
126	149
127	182
128	218
129	224
130	215
131	212
132	197
133	160
134	152
135	133
136	158
137	167
138	164
139	139
140	118
141	87
142	94
143	69
144	65
145	72
146	77
147	74
148	104
149	156
150	272
151	315
152	376
153	426
154	424
155	397
156	371
157	246
158	210
159	115
160	63
161	40
162	34
163	13
164	24
165	17
166	24
167	23
168	26
169	29
170	35
171	52
172	60
173	58
174	94
175	142
176	190
177	192
178	232
179	265
180	281
181	256
182	202
183	141
184	109
185	86
186	60
187	36
188	38
189	26
190	14
191	9
192	8
193	5
194	11
195	11
196	6
197	16
198	11
199	6
200	14
201	19
202	19
203	20
204	18
205	38
206	24
207	31
208	27
209	29
210	21
211	22
212	14
213	23
214	14
215	10
216	6
217	3
218	9
219	8
220	3
221	1
222	5
223	3
224	2
225	2
226	8
227	3
228	5
229	2
230	5
231	2
232	8
233	4
234	9
235	5
236	3
237	7
238	1
239	2
240	3
241	2
242	4
243	2
244	4
245	5
246	6
247	1
248	5
249	4
250	5
251	1
252	4
253	1
254	5
255	3
256	4
257	6
258	2
259	5
260	3
261	1
262	2
263	5
264	4
265	6
266	5
267	4
268	7
269	4
270	4
271	5
272	3
273	5
274	2
275	2
276	4
277	1
278	4
279	0
280	3
281	4
282	1
283	3
284	2
285	7
286	2
287	3
288	3
289	8
290	4
291	1
292	3
293	2
294	1
295	2
296	2
297	2
298	3
299	4
300	2
301	1
302	6
303	1
304	3
305	3
306	2
307	3
308	1
309	2
310	6
311	2
312	2
313	1
314	0
315	5
316	1
317	3
318	3
319	3
320	3
321	1
322	3
323	1
324	1
325	1
326	0
327	1
328	5
329	3
330	1
331	2
332	1
333	2
334	0
335	4
336	4
337	1
338	1
339	0
340	1
341	0
342	1
343	2
344	2
345	1
346	5
347	0
348	3
349	2
350	2
351	0
352	0
353	0
354	2
355	1
356	1
357	0
358	2
359	1
360	1
361	1
362	1
363	1
364	1
365	1
366	4
367	1
368	3
369	2
370	2
371	2
372	1
373	1
374	6
375	2
376	1
377	0
378	1
379	0
380	1
381	1
382	1
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	0
391	1
392	0
393	1
394	1
395	0
396	2
397	0
398	0
399	0
400	0
401	0
402	0
403	1
404	0
405	1
406	0
407	0
408	2
409	0
410	0
411	0
412	0
413	1
414	0
415	0
416	0
417	2
418	0
419	0
420	2
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	1
429	1
430	0
431	0
432	0
433	0
434	0
435	1
436	0
437	0
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	1
459	0
460	0
461	1
462	0
463	1
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	1
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
