n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	1
32	2
33	1
34	0
35	4
36	4
37	4
38	2
39	5
40	6
41	3
42	3
43	6
44	4
45	6
46	7
47	13
48	9
49	19
50	27
51	45
52	67
53	65
54	89
55	104
56	123
57	150
58	165
59	164
60	153
61	156
62	136
63	111
64	92
65	79
66	61
67	38
68	34
69	25
70	14
71	16
72	13
73	7
74	7
75	3
76	4
77	7
78	2
79	4
80	2
81	0
82	2
83	1
84	0
85	2
86	2
87	1
88	3
89	0
90	0
91	7
92	5
93	1
94	2
95	0
96	5
97	3
98	5
99	2
100	6
101	5
102	4
103	5
104	9
105	5
106	2
107	4
108	6
109	4
110	2
111	8
112	7
113	1
114	10
115	7
116	10
117	8
118	11
119	8
120	7
121	10
122	22
123	23
124	44
125	51
126	75
127	104
128	133
129	158
130	133
131	124
132	86
133	95
134	65
135	45
136	45
137	17
138	18
139	26
140	21
141	25
142	33
143	19
144	34
145	22
146	11
147	8
148	7
149	2
150	6
151	5
152	4
153	5
154	6
155	6
156	5
157	4
158	5
159	3
160	5
161	5
162	2
163	3
164	5
165	3
166	5
167	3
168	5
169	7
170	7
171	6
172	2
173	9
174	0
175	3
176	5
177	7
178	7
179	1
180	3
181	5
182	9
183	7
184	1
185	4
186	2
187	7
188	2
189	3
190	3
191	4
192	5
193	3
194	5
195	3
196	3
197	1
198	2
199	4
200	4
201	6
202	3
203	1
204	3
205	1
206	2
207	4
208	0
209	7
210	3
211	1
212	4
213	2
214	2
215	2
216	3
217	3
218	0
219	4
220	2
221	4
222	1
223	2
224	3
225	1
226	5
227	0
228	5
229	1
230	1
231	3
232	1
233	1
234	3
235	2
236	3
237	4
238	4
239	4
240	1
241	3
242	1
243	2
244	1
245	1
246	1
247	3
248	2
249	6
250	2
251	3
252	3
253	4
254	1
255	0
256	3
257	3
258	2
259	2
260	5
261	1
262	2
263	3
264	3
265	2
266	2
267	2
268	1
269	1
270	1
271	1
272	4
273	2
274	1
275	2
276	2
277	3
278	1
279	4
280	0
281	0
282	1
283	0
284	3
285	2
286	4
287	4
288	2
289	1
290	3
291	0
292	2
293	1
294	1
295	3
296	0
297	1
298	0
299	1
300	2
301	0
302	3
303	0
304	1
305	1
306	1
307	1
308	2
309	1
310	2
311	0
312	2
313	1
314	1
315	0
316	0
317	2
318	2
319	0
320	0
321	0
322	0
323	0
324	1
325	4
326	1
327	0
328	0
329	1
330	0
331	1
332	0
333	1
334	1
335	2
336	2
337	0
338	1
339	1
340	1
341	1
342	1
343	2
344	1
345	1
346	3
347	3
348	3
349	9
350	5
351	7
352	18
353	17
354	26
355	25
356	37
357	41
358	42
359	39
360	25
361	29
362	13
363	10
364	8
365	3
366	4
367	0
368	0
369	0
370	1
371	0
372	1
373	1
374	0
375	1
376	0
377	2
378	0
379	1
380	1
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	1
390	0
391	0
392	0
393	1
394	1
395	3
396	1
397	5
398	11
399	9
400	8
401	9
402	5
403	4
404	3
405	0
406	3
407	4
408	1
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	1
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	1
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
