n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	2
33	0
34	2
35	5
36	2
37	7
38	4
39	4
40	7
41	7
42	9
43	12
44	0
45	7
46	11
47	6
48	7
49	9
50	11
51	12
52	6
53	7
54	11
55	10
56	9
57	13
58	12
59	9
60	10
61	13
62	5
63	9
64	13
65	7
66	12
67	11
68	9
69	6
70	10
71	6
72	5
73	15
74	13
75	14
76	12
77	16
78	6
79	18
80	15
81	12
82	18
83	15
84	19
85	18
86	17
87	10
88	25
89	15
90	13
91	15
92	24
93	17
94	20
95	15
96	25
97	20
98	22
99	29
100	32
101	29
102	31
103	48
104	58
105	52
106	40
107	51
108	46
109	51
110	37
111	39
112	59
113	50
114	51
115	53
116	38
117	53
118	59
119	85
120	149
121	312
122	450
123	802
124	1207
125	1732
126	2308
127	3028
128	3524
129	3872
130	3802
131	3455
132	2886
133	1980
134	1324
135	795
136	534
137	420
138	406
139	437
140	450
141	566
142	519
143	463
144	402
145	328
146	203
147	152
148	80
149	27
150	20
151	13
152	4
153	7
154	4
155	4
156	1
157	4
158	6
159	4
160	7
161	0
162	2
163	5
164	4
165	2
166	7
167	2
168	5
169	4
170	2
171	2
172	6
173	2
174	2
175	3
176	4
177	3
178	2
179	2
180	5
181	4
182	5
183	5
184	2
185	6
186	4
187	9
188	12
189	13
190	12
191	19
192	12
193	13
194	10
195	6
196	7
197	8
198	1
199	8
200	14
201	5
202	5
203	7
204	2
205	7
206	6
207	4
208	5
209	2
210	2
211	4
212	7
213	1
214	3
215	1
216	5
217	1
218	3
219	2
220	3
221	3
222	1
223	1
224	2
225	3
226	3
227	3
228	2
229	5
230	2
231	0
232	4
233	3
234	3
235	4
236	4
237	4
238	3
239	5
240	2
241	2
242	6
243	1
244	6
245	7
246	5
247	3
248	2
249	0
250	0
251	1
252	1
253	2
254	0
255	0
256	3
257	2
258	1
259	2
260	0
261	4
262	1
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	1
272	0
273	1
274	0
275	0
276	2
277	1
278	0
279	0
280	1
281	0
282	0
283	1
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	1
292	0
293	0
294	0
295	0
296	0
297	1
298	0
299	0
300	1
301	0
302	0
303	0
304	1
305	0
306	0
307	3
308	0
309	0
310	0
311	1
312	0
313	0
314	0
315	2
316	0
317	2
318	1
319	1
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	2
328	1
329	0
330	0
331	0
332	1
333	0
334	0
335	0
336	1
337	0
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	1
348	0
349	0
350	0
351	1
352	0
353	0
354	1
355	1
356	0
357	1
358	0
359	0
360	1
361	0
362	1
363	1
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	1
439	1
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
