n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	1
30	1
31	2
32	1
33	1
34	1
35	4
36	3
37	9
38	4
39	8
40	11
41	8
42	7
43	10
44	13
45	9
46	7
47	11
48	19
49	9
50	14
51	8
52	8
53	11
54	15
55	12
56	9
57	10
58	6
59	18
60	13
61	11
62	7
63	10
64	19
65	16
66	13
67	18
68	19
69	26
70	18
71	17
72	19
73	16
74	24
75	18
76	19
77	20
78	22
79	21
80	22
81	22
82	26
83	29
84	25
85	25
86	27
87	22
88	28
89	28
90	23
91	42
92	54
93	59
94	62
95	90
96	83
97	106
98	76
99	87
100	65
101	82
102	64
103	71
104	65
105	72
106	78
107	80
108	86
109	102
110	120
111	175
112	306
113	500
114	802
115	1305
116	1902
117	2681
118	3518
119	4300
120	4979
121	5175
122	4862
123	4316
124	3179
125	2257
126	1555
127	1005
128	793
129	747
130	767
131	839
132	819
133	790
134	667
135	513
136	403
137	245
138	127
139	73
140	46
141	24
142	23
143	8
144	15
145	4
146	14
147	5
148	6
149	8
150	4
151	7
152	10
153	5
154	5
155	6
156	4
157	11
158	6
159	5
160	3
161	5
162	6
163	4
164	3
165	7
166	6
167	4
168	6
169	10
170	13
171	8
172	9
173	9
174	25
175	24
176	22
177	28
178	21
179	31
180	26
181	20
182	19
183	24
184	22
185	13
186	11
187	17
188	14
189	13
190	10
191	9
192	9
193	9
194	5
195	9
196	11
197	7
198	8
199	4
200	7
201	10
202	5
203	4
204	6
205	2
206	2
207	7
208	7
209	3
210	4
211	2
212	7
213	5
214	4
215	9
216	3
217	2
218	4
219	9
220	5
221	8
222	3
223	10
224	6
225	8
226	8
227	6
228	6
229	7
230	6
231	4
232	5
233	5
234	3
235	2
236	2
237	3
238	5
239	2
240	2
241	2
242	1
243	0
244	6
245	1
246	0
247	0
248	1
249	1
250	1
251	0
252	0
253	1
254	1
255	0
256	0
257	0
258	1
259	0
260	1
261	0
262	1
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	3
274	0
275	0
276	2
277	0
278	1
279	1
280	0
281	3
282	1
283	2
284	0
285	0
286	0
287	1
288	1
289	1
290	1
291	1
292	0
293	1
294	1
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	1
306	0
307	0
308	0
309	0
310	0
311	1
312	0
313	0
314	0
315	1
316	0
317	1
318	0
319	1
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	2
329	1
330	1
331	0
332	0
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	1
341	2
342	1
343	0
344	0
345	0
346	0
347	0
348	1
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	1
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	1
368	1
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	1
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	1
428	0
429	0
430	0
431	1
432	0
433	0
434	0
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	1
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
