#n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	2
35	2
36	6
37	2
38	3
39	2
40	4
41	8
42	4
43	1
44	10
45	9
46	18
47	37
48	33
49	55
50	59
51	69
52	75
53	89
54	79
55	80
56	78
57	54
58	42
59	45
60	28
61	20
62	17
63	4
64	8
65	6
66	5
67	5
68	6
69	1
70	4
71	2
72	2
73	4
74	0
75	3
76	2
77	3
78	3
79	0
80	1
81	2
82	3
83	1
84	3
85	3
86	4
87	2
88	0
89	2
90	1
91	2
92	4
93	1
94	2
95	2
96	5
97	4
98	6
99	4
100	7
101	7
102	4
103	11
104	5
105	2
106	3
107	4
108	4
109	8
110	10
111	12
112	9
113	9
114	12
115	18
116	13
117	10
118	7
119	8
120	12
121	8
122	18
123	16
124	21
125	27
126	30
127	37
128	46
129	32
130	48
131	32
132	25
133	23
134	29
135	12
136	17
137	20
138	8
139	17
140	14
141	18
142	13
143	15
144	11
145	13
146	14
147	7
148	15
149	11
150	12
151	14
152	7
153	10
154	4
155	9
156	7
157	5
158	7
159	5
160	1
161	6
162	7
163	7
164	8
165	4
166	1
167	4
168	9
169	4
170	2
171	9
172	11
173	7
174	6
175	5
176	3
177	12
178	6
179	3
180	11
181	5
182	9
183	4
184	1
185	5
186	3
187	4
188	7
189	5
190	5
191	6
192	2
193	7
194	6
195	3
196	7
197	4
198	3
199	6
200	4
201	1
202	6
203	4
204	5
205	5
206	6
207	1
208	5
209	4
210	4
211	6
212	3
213	2
214	4
215	6
216	3
217	2
218	8
219	2
220	3
221	2
222	3
223	2
224	3
225	1
226	1
227	5
228	1
229	4
230	2
231	4
232	7
233	1
234	5
235	2
236	4
237	4
238	4
239	2
240	3
241	2
242	2
243	1
244	2
245	3
246	6
247	2
248	5
249	1
250	1
251	1
252	1
253	2
254	5
255	0
256	6
257	2
258	2
259	1
260	2
261	2
262	3
263	5
264	5
265	1
266	0
267	4
268	2
269	1
270	0
271	1
272	6
273	5
274	3
275	2
276	1
277	2
278	1
279	4
280	1
281	2
282	3
283	1
284	2
285	1
286	0
287	1
288	3
289	3
290	0
291	0
292	1
293	5
294	2
295	1
296	1
297	1
298	1
299	0
300	1
301	4
302	2
303	3
304	2
305	1
306	1
307	4
308	1
309	0
310	3
311	1
312	1
313	3
314	3
315	3
316	8
317	0
318	6
319	4
320	5
321	10
322	19
323	24
324	26
325	54
326	71
327	78
328	100
329	71
330	99
331	73
332	66
333	48
334	35
335	26
336	16
337	7
338	1
339	2
340	0
341	3
342	2
343	1
344	1
345	1
346	3
347	0
348	0
349	0
350	0
351	4
352	3
353	0
354	0
355	1
356	0
357	0
358	1
359	0
360	0
361	4
362	2
363	2
364	6
365	13
366	10
367	13
368	16
369	18
370	13
371	11
372	10
373	8
374	5
375	3
376	4
377	2
378	2
379	2
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	1
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	1
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
