#n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	1
30	0
31	0
32	3
33	3
34	6
35	5
36	8
37	19
38	19
39	17
40	20
41	27
42	33
43	34
44	32
45	35
46	34
47	53
48	40
49	47
50	51
51	39
52	37
53	44
54	41
55	41
56	39
57	39
58	27
59	38
60	37
61	45
62	45
63	38
64	58
65	68
66	95
67	151
68	253
69	410
70	691
71	998
72	1457
73	1913
74	2365
75	2851
76	3323
77	3523
78	3392
79	3085
80	2631
81	2021
82	1505
83	1134
84	882
85	675
86	504
87	353
88	253
89	149
90	63
91	39
92	27
93	23
94	5
95	7
96	6
97	12
98	6
99	3
100	7
101	12
102	12
103	12
104	16
105	14
106	26
107	14
108	17
109	14
110	15
111	24
112	20
113	29
114	24
115	21
116	18
117	25
118	26
119	11
120	16
121	12
122	17
123	18
124	15
125	26
126	22
127	27
128	25
129	32
130	18
131	18
132	14
133	14
134	15
135	9
136	14
137	7
138	3
139	9
140	10
141	12
142	9
143	10
144	6
145	10
146	12
147	8
148	2
149	9
150	3
151	6
152	7
153	8
154	6
155	4
156	3
157	1
158	2
159	1
160	2
161	3
162	2
163	1
164	1
165	2
166	2
167	2
168	1
169	0
170	1
171	2
172	1
173	0
174	3
175	1
176	2
177	5
178	3
179	1
180	0
181	4
182	3
183	1
184	0
185	1
186	2
187	3
188	2
189	4
190	2
191	3
192	2
193	5
194	1
195	1
196	3
197	1
198	0
199	4
200	1
201	1
202	5
203	4
204	0
205	0
206	1
207	0
208	1
209	3
210	1
211	2
212	1
213	4
214	0
215	2
216	1
217	1
218	1
219	1
220	2
221	2
222	2
223	1
224	1
225	1
226	0
227	0
228	2
229	0
230	0
231	0
232	2
233	2
234	3
235	2
236	0
237	0
238	2
239	3
240	3
241	2
242	4
243	0
244	2
245	3
246	0
247	0
248	2
249	3
250	0
251	1
252	1
253	0
254	0
255	2
256	1
257	0
258	3
259	1
260	0
261	1
262	3
263	3
264	4
265	1
266	0
267	2
268	0
269	3
270	2
271	0
272	2
273	0
274	0
275	0
276	0
277	0
278	2
279	0
280	1
281	0
282	0
283	1
284	2
285	1
286	2
287	3
288	1
289	0
290	2
291	0
292	1
293	3
294	1
295	2
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	2
304	2
305	3
306	1
307	1
308	0
309	0
310	0
311	0
312	0
313	2
314	0
315	1
316	2
317	3
318	0
319	0
320	1
321	0
322	1
323	0
324	0
325	0
326	2
327	1
328	1
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	1
337	0
338	0
339	0
340	0
341	1
342	1
343	3
344	0
345	1
346	1
347	1
348	1
349	0
350	0
351	0
352	2
353	0
354	1
355	0
356	0
357	0
358	0
359	0
360	0
361	1
362	0
363	0
364	0
365	0
366	2
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	1
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	1
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	1
410	0
411	0
412	0
413	1
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	1
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	1
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
