#n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	1
38	1
39	5
40	1
41	5
42	1
43	0
44	1
45	1
46	1
47	1
48	1
49	0
50	1
51	1
52	0
53	6
54	4
55	5
56	2
57	4
58	2
59	5
60	3
61	3
62	3
63	4
64	2
65	3
66	1
67	1
68	1
69	3
70	2
71	1
72	4
73	5
74	2
75	4
76	5
77	4
78	6
79	4
80	6
81	2
82	2
83	6
84	6
85	6
86	4
87	10
88	13
89	18
90	25
91	32
92	25
93	29
94	27
95	27
96	27
97	19
98	16
99	9
100	5
101	11
102	11
103	13
104	11
105	14
106	11
107	16
108	12
109	26
110	18
111	11
112	22
113	21
114	23
115	22
116	29
117	42
118	39
119	30
120	51
121	53
122	53
123	58
124	45
125	64
126	60
127	106
128	168
129	237
130	313
131	469
132	550
133	669
134	763
135	742
136	716
137	611
138	449
139	337
140	218
141	111
142	67
143	42
144	31
145	41
146	65
147	117
148	167
149	234
150	312
151	427
152	456
153	544
154	510
155	539
156	468
157	358
158	305
159	205
160	157
161	105
162	53
163	31
164	25
165	15
166	7
167	9
168	12
169	18
170	19
171	21
172	29
173	37
174	40
175	55
176	65
177	52
178	54
179	51
180	47
181	39
182	25
183	28
184	16
185	14
186	14
187	4
188	3
189	3
190	2
191	5
192	2
193	2
194	0
195	0
196	3
197	2
198	2
199	1
200	0
201	2
202	0
203	1
204	2
205	1
206	0
207	1
208	1
209	2
210	2
211	2
212	2
213	0
214	2
215	3
216	1
217	3
218	1
219	2
220	1
221	0
222	2
223	1
224	0
225	1
226	1
227	3
228	0
229	0
230	1
231	0
232	1
233	3
234	0
235	0
236	0
237	2
238	1
239	0
240	2
241	0
242	1
243	0
244	0
245	1
246	5
247	3
248	2
249	6
250	1
251	4
252	3
253	4
254	4
255	1
256	0
257	2
258	1
259	2
260	3
261	2
262	2
263	0
264	0
265	1
266	1
267	0
268	0
269	1
270	1
271	0
272	1
273	2
274	0
275	0
276	0
277	0
278	0
279	0
280	1
281	1
282	0
283	0
284	0
285	0
286	1
287	1
288	0
289	0
290	0
291	1
292	0
293	1
294	2
295	1
296	1
297	0
298	1
299	0
300	1
301	0
302	0
303	0
304	0
305	1
306	0
307	0
308	0
309	0
310	2
311	0
312	1
313	0
314	1
315	0
316	1
317	0
318	1
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	1
328	0
329	2
330	0
331	0
332	1
333	1
334	0
335	1
336	0
337	1
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	1
354	0
355	0
356	0
357	0
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	1
374	0
375	1
376	0
377	1
378	0
379	1
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	1
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	1
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	1
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	1
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
