n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	2
32	0
33	1
34	1
35	2
36	6
37	4
38	6
39	4
40	9
41	0
42	5
43	6
44	7
45	6
46	4
47	8
48	4
49	2
50	4
51	9
52	15
53	9
54	6
55	8
56	11
57	9
58	11
59	9
60	9
61	8
62	14
63	9
64	5
65	7
66	8
67	7
68	7
69	11
70	9
71	11
72	14
73	10
74	15
75	13
76	14
77	18
78	15
79	12
80	13
81	11
82	11
83	19
84	14
85	19
86	19
87	17
88	13
89	14
90	15
91	20
92	20
93	14
94	27
95	14
96	20
97	19
98	21
99	18
100	20
101	25
102	25
103	25
104	27
105	34
106	38
107	51
108	38
109	38
110	59
111	52
112	82
113	83
114	85
115	86
116	74
117	84
118	75
119	70
120	77
121	67
122	88
123	97
124	124
125	125
126	132
127	189
128	253
129	324
130	445
131	738
132	1027
133	1454
134	2014
135	2540
136	3199
137	3542
138	3758
139	3532
140	3159
141	2327
142	1637
143	1004
144	591
145	382
146	277
147	295
148	327
149	379
150	457
151	459
152	512
153	442
154	386
155	242
156	151
157	88
158	44
159	32
160	16
161	9
162	5
163	5
164	5
165	6
166	3
167	3
168	3
169	5
170	1
171	4
172	1
173	1
174	2
175	0
176	2
177	3
178	4
179	5
180	0
181	2
182	4
183	1
184	2
185	2
186	2
187	2
188	2
189	1
190	2
191	2
192	5
193	2
194	3
195	1
196	8
197	9
198	6
199	13
200	10
201	5
202	14
203	14
204	11
205	14
206	12
207	15
208	16
209	14
210	5
211	6
212	6
213	8
214	10
215	6
216	7
217	6
218	7
219	7
220	7
221	2
222	1
223	2
224	4
225	6
226	2
227	2
228	3
229	0
230	2
231	5
232	2
233	5
234	5
235	3
236	0
237	2
238	3
239	3
240	0
241	1
242	3
243	1
244	2
245	2
246	2
247	1
248	4
249	1
250	2
251	3
252	5
253	2
254	0
255	6
256	2
257	2
258	3
259	1
260	3
261	3
262	4
263	3
264	1
265	2
266	1
267	1
268	1
269	2
270	0
271	4
272	2
273	1
274	0
275	1
276	2
277	1
278	2
279	0
280	0
281	1
282	0
283	1
284	0
285	0
286	0
287	1
288	0
289	0
290	0
291	0
292	0
293	1
294	1
295	0
296	1
297	1
298	0
299	2
300	0
301	0
302	0
303	0
304	1
305	0
306	0
307	0
308	0
309	0
310	1
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	1
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	2
336	1
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	1
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	1
383	0
384	0
385	1
386	0
387	0
388	1
389	0
390	1
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	1
402	0
403	1
404	1
405	0
406	0
407	0
408	1
409	0
410	0
411	1
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	1
443	0
444	0
445	0
446	1
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	1
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
