#n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	3
31	1
32	1
33	2
34	1
35	2
36	3
37	7
38	4
39	2
40	3
41	4
42	4
43	6
44	3
45	14
46	3
47	11
48	5
49	11
50	17
51	17
52	39
53	49
54	47
55	63
56	91
57	99
58	131
59	181
60	216
61	207
62	233
63	227
64	214
65	203
66	171
67	138
68	114
69	97
70	73
71	50
72	33
73	26
74	11
75	17
76	21
77	8
78	6
79	8
80	2
81	2
82	2
83	2
84	1
85	2
86	1
87	2
88	1
89	5
90	2
91	2
92	4
93	3
94	3
95	1
96	1
97	4
98	2
99	5
100	2
101	2
102	7
103	4
104	8
105	6
106	7
107	10
108	12
109	9
110	14
111	15
112	7
113	10
114	11
115	9
116	7
117	9
118	11
119	6
120	10
121	17
122	12
123	17
124	32
125	34
126	32
127	60
128	74
129	70
130	87
131	63
132	49
133	43
134	43
135	22
136	14
137	27
138	40
139	35
140	49
141	58
142	80
143	74
144	61
145	33
146	29
147	18
148	7
149	7
150	8
151	3
152	4
153	4
154	9
155	5
156	5
157	7
158	6
159	2
160	4
161	6
162	7
163	6
164	4
165	2
166	6
167	9
168	3
169	8
170	1
171	2
172	3
173	8
174	7
175	5
176	0
177	3
178	2
179	5
180	4
181	6
182	5
183	5
184	3
185	6
186	3
187	2
188	3
189	3
190	6
191	2
192	3
193	5
194	2
195	3
196	3
197	5
198	2
199	4
200	5
201	5
202	5
203	1
204	5
205	4
206	1
207	8
208	1
209	2
210	2
211	1
212	2
213	2
214	3
215	1
216	2
217	3
218	4
219	3
220	3
221	3
222	4
223	4
224	4
225	1
226	2
227	4
228	3
229	3
230	2
231	4
232	1
233	5
234	1
235	1
236	3
237	1
238	1
239	2
240	3
241	1
242	0
243	1
244	1
245	5
246	0
247	2
248	1
249	1
250	0
251	3
252	0
253	2
254	0
255	1
256	1
257	1
258	2
259	3
260	3
261	1
262	0
263	3
264	4
265	1
266	1
267	1
268	2
269	2
270	6
271	1
272	1
273	1
274	2
275	2
276	0
277	1
278	2
279	1
280	2
281	3
282	2
283	1
284	1
285	2
286	0
287	2
288	1
289	3
290	2
291	3
292	0
293	2
294	2
295	1
296	1
297	2
298	2
299	2
300	2
301	0
302	0
303	1
304	0
305	0
306	0
307	0
308	0
309	1
310	1
311	0
312	0
313	1
314	0
315	1
316	0
317	0
318	0
319	2
320	1
321	2
322	1
323	2
324	0
325	0
326	0
327	3
328	0
329	0
330	1
331	4
332	0
333	0
334	0
335	3
336	1
337	2
338	4
339	1
340	0
341	1
342	1
343	2
344	0
345	0
346	1
347	0
348	0
349	2
350	0
351	1
352	0
353	0
354	0
355	1
356	0
357	2
358	1
359	0
360	1
361	1
362	0
363	1
364	6
365	6
366	5
367	6
368	18
369	20
370	17
371	25
372	23
373	16
374	17
375	10
376	12
377	8
378	8
379	3
380	3
381	1
382	0
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	1
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	1
410	2
411	1
412	3
413	1
414	5
415	3
416	0
417	3
418	4
419	3
420	1
421	2
422	2
423	1
424	0
425	1
426	1
427	0
428	0
429	0
430	0
431	0
432	1
433	0
434	0
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	1
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
