n_3	N_3
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	2
34	1
35	3
36	2
37	4
38	6
39	8
40	1
41	7
42	4
43	1
44	2
45	5
46	5
47	3
48	6
49	9
50	5
51	2
52	6
53	4
54	4
55	4
56	4
57	6
58	2
59	2
60	2
61	3
62	1
63	3
64	5
65	3
66	5
67	7
68	5
69	8
70	3
71	5
72	4
73	8
74	3
75	7
76	5
77	7
78	3
79	6
80	5
81	9
82	7
83	5
84	3
85	7
86	3
87	10
88	12
89	3
90	6
91	5
92	7
93	7
94	6
95	12
96	11
97	15
98	14
99	9
100	18
101	14
102	21
103	24
104	22
105	36
106	36
107	25
108	29
109	21
110	21
111	13
112	25
113	24
114	20
115	20
116	21
117	29
118	22
119	24
120	36
121	35
122	35
123	37
124	37
125	47
126	46
127	62
128	68
129	51
130	76
131	57
132	68
133	56
134	47
135	61
136	72
137	102
138	144
139	186
140	223
141	248
142	291
143	262
144	242
145	181
146	114
147	107
148	60
149	30
150	32
151	22
152	28
153	29
154	24
155	26
156	32
157	25
158	21
159	13
160	12
161	14
162	7
163	9
164	9
165	10
166	9
167	9
168	15
169	10
170	13
171	9
172	16
173	18
174	16
175	18
176	16
177	32
178	28
179	31
180	30
181	28
182	24
183	20
184	15
185	16
186	11
187	13
188	17
189	8
190	14
191	6
192	9
193	12
194	7
195	7
196	11
197	4
198	4
199	12
200	3
201	12
202	10
203	13
204	10
205	12
206	13
207	7
208	10
209	11
210	9
211	9
212	9
213	6
214	10
215	12
216	10
217	4
218	7
219	12
220	6
221	8
222	14
223	15
224	10
225	18
226	9
227	9
228	13
229	12
230	22
231	38
232	61
233	115
234	172
235	256
236	349
237	515
238	599
239	702
240	766
241	745
242	680
243	536
244	390
245	220
246	111
247	61
248	39
249	12
250	16
251	6
252	9
253	6
254	5
255	4
256	7
257	13
258	5
259	17
260	10
261	21
262	46
263	56
264	76
265	104
266	107
267	116
268	106
269	100
270	84
271	68
272	42
273	26
274	13
275	14
276	7
277	0
278	4
279	0
280	1
281	0
282	2
283	0
284	1
285	0
286	0
287	0
288	0
289	1
290	1
291	1
292	0
293	1
294	1
295	1
296	1
297	1
298	1
299	0
300	0
301	1
302	0
303	0
304	0
305	0
306	3
307	0
308	1
309	0
310	1
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	1
321	0
322	0
323	0
324	0
325	1
326	0
327	0
328	0
329	0
330	0
331	2
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	2
350	3
351	0
352	2
353	0
354	1
355	1
356	1
357	0
358	1
359	0
360	0
361	0
362	0
363	1
364	0
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	0
374	1
375	0
376	0
377	0
378	0
379	1
380	1
381	1
382	0
383	0
384	1
385	0
386	0
387	0
388	0
389	0
390	0
391	1
392	0
393	0
394	1
395	0
396	0
397	1
398	0
399	2
400	1
401	0
402	0
403	0
404	0
405	0
406	2
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	1
422	0
423	0
424	0
425	0
426	0
427	1
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	1
449	1
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	4
