#&a / °	I1 / %
2.736	0.2
2.733	0.3
2.731	0.2
2.728	0.2
2.725	0.2
2.723	0.2
2.720	0.2
2.717	0.2
2.715	0.2
2.712	0.2
2.709	0.2
2.707	0.2
2.704	0.2
2.701	0.2
2.699	0.2
2.696	0.2
2.693	0.2
2.691	0.2
2.688	0.2
2.685	0.2
2.683	0.2
2.680	0.2
2.677	0.2
2.675	0.2
2.672	0.2
2.669	0.2
2.667	0.2
2.664	0.2
2.661	0.2
2.659	0.2
2.656	0.2
2.653	0.2
2.651	0.2
2.648	0.2
2.645	0.2
2.643	0.2
2.640	0.2
2.637	0.2
2.635	0.2
2.632	0.2
2.629	0.2
2.627	0.2
2.624	0.2
2.621	0.2
2.619	0.2
2.616	0.2
2.613	0.2
2.610	0.2
2.608	0.2
2.605	0.2
2.602	0.2
2.600	0.2
2.597	0.2
2.594	0.2
2.592	0.2
2.589	0.2
2.586	0.2
2.584	0.2
2.581	0.2
2.578	0.2
2.576	0.2
2.573	0.2
2.570	0.2
2.568	0.2
2.565	0.2
2.562	0.2
2.560	0.2
2.557	0.2
2.554	0.2
2.552	0.2
2.549	0.2
2.546	0.2
2.544	0.2
2.541	0.2
2.538	0.2
2.536	0.2
2.533	0.2
2.530	0.2
2.528	0.2
2.525	0.2
2.522	0.2
2.520	0.2
2.517	0.2
2.514	0.2
2.512	0.2
2.509	0.2
2.506	0.2
2.504	0.2
2.501	0.2
2.498	0.2
2.496	0.2
2.493	0.2
2.490	0.2
2.488	0.2
2.485	0.2
2.482	0.2
2.480	0.2
2.477	0.2
2.474	0.2
2.472	0.2
2.469	0.2
2.466	0.2
2.464	0.2
2.461	0.2
2.458	0.2
2.456	0.2
2.453	0.2
2.450	0.2
2.448	0.2
2.445	0.2
2.442	0.2
2.440	0.2
2.437	0.2
2.434	0.2
2.432	0.2
2.429	0.2
2.426	0.2
2.424	0.2
2.421	0.2
2.418	0.2
2.416	0.2
2.413	0.2
2.410	0.2
2.408	0.2
2.405	0.2
2.402	0.2
2.400	0.2
2.397	0.2
2.394	0.2
2.392	0.2
2.389	0.2
2.386	0.2
2.384	0.2
2.381	0.2
2.378	0.2
2.376	0.2
2.373	0.2
2.370	0.2
2.368	0.2
2.365	0.2
2.362	0.2
2.360	0.2
2.357	0.2
2.354	0.2
2.352	0.2
2.349	0.2
2.346	0.2
2.344	0.2
2.341	0.2
2.338	0.2
2.336	0.2
2.333	0.2
2.330	0.2
2.328	0.2
2.325	0.2
2.322	0.2
2.320	0.2
2.317	0.2
2.314	0.2
2.312	0.2
2.309	0.2
2.306	0.2
2.304	0.2
2.301	0.2
2.298	0.2
2.296	0.2
2.293	0.2
2.290	0.2
2.288	0.2
2.285	0.2
2.282	0.2
2.280	0.2
2.277	0.2
2.274	0.2
2.272	0.2
2.269	0.2
2.266	0.2
2.264	0.2
2.261	0.2
2.258	0.2
2.256	0.2
2.253	0.2
2.250	0.2
2.248	0.2
2.245	0.2
2.242	0.2
2.240	0.2
2.237	0.2
2.234	0.2
2.231	0.2
2.229	0.2
2.226	0.2
2.223	0.2
2.221	0.2
2.218	0.2
2.215	0.2
2.213	0.2
2.210	0.2
2.207	0.2
2.205	0.2
2.202	0.2
2.199	0.2
2.197	0.2
2.194	0.2
2.191	0.2
2.189	0.2
2.186	0.2
2.183	0.2
2.181	0.2
2.178	0.2
2.175	0.2
2.173	0.2
2.170	0.2
2.167	0.2
2.165	0.2
2.162	0.2
2.159	0.2
2.157	0.2
2.154	0.2
2.151	0.2
2.149	0.2
2.146	0.2
2.143	0.2
2.141	0.2
2.138	0.2
2.135	0.2
2.133	0.2
2.130	0.2
2.127	0.2
2.125	0.2
2.122	0.2
2.119	0.2
2.117	0.2
2.114	0.2
2.111	0.2
2.109	0.2
2.106	0.2
2.103	0.2
2.101	0.2
2.098	0.2
2.095	0.2
2.093	0.2
2.090	0.2
2.087	0.2
2.085	0.2
2.082	0.2
2.079	0.2
2.077	0.2
2.074	0.2
2.071	0.2
2.069	0.2
2.066	0.2
2.063	0.2
2.061	0.2
2.058	0.2
2.055	0.2
2.053	0.2
2.050	0.2
2.047	0.2
2.045	0.2
2.042	0.2
2.039	0.2
2.037	0.2
2.034	0.2
2.031	0.2
2.029	0.2
2.026	0.2
2.023	0.2
2.021	0.2
2.018	0.2
2.015	0.2
2.013	0.2
2.010	0.2
2.007	0.2
2.005	0.2
