&a / °	I1 / %
2.736	0.5
2.733	0.5
2.731	0.5
2.728	0.5
2.725	0.4
2.723	0.5
2.720	0.5
2.717	0.5
2.715	0.5
2.712	0.5
2.709	0.5
2.707	0.5
2.704	0.4
2.701	0.5
2.699	0.5
2.696	0.5
2.693	0.5
2.691	0.5
2.688	0.5
2.685	0.5
2.683	0.5
2.680	0.5
2.677	0.5
2.675	0.5
2.672	0.5
2.669	0.5
2.667	0.5
2.664	0.5
2.661	0.4
2.659	0.5
2.656	0.5
2.653	0.5
2.651	0.4
2.648	0.5
2.645	0.5
2.643	0.4
2.640	0.4
2.637	0.4
2.635	0.4
2.632	0.4
2.629	0.5
2.627	0.5
2.624	0.4
2.621	0.4
2.619	0.5
2.616	0.5
2.613	0.5
2.610	0.5
2.608	0.5
2.605	0.4
2.602	0.4
2.600	0.5
2.597	0.4
2.594	0.5
2.592	0.4
2.589	0.5
2.586	0.5
2.584	0.5
2.581	0.5
2.578	0.5
2.576	0.4
2.573	0.4
2.570	0.5
2.568	0.5
2.565	0.4
2.562	0.5
2.560	0.5
2.557	0.5
2.554	0.5
2.552	0.4
2.549	0.5
2.546	0.5
2.544	0.5
2.541	0.5
2.538	0.5
2.536	0.5
2.533	0.5
2.530	0.5
2.528	0.4
2.525	0.5
2.522	0.5
2.520	0.5
2.517	0.4
2.514	0.5
2.512	0.5
2.509	0.5
2.506	0.5
2.504	0.5
2.501	0.4
2.498	0.5
2.496	0.5
2.493	0.5
2.490	0.4
2.488	0.5
2.485	0.5
2.482	0.5
2.480	0.4
2.477	0.4
2.474	0.5
2.472	0.5
2.469	0.5
2.466	0.5
2.464	0.5
2.461	0.5
2.458	0.5
2.456	0.5
2.453	0.4
2.450	0.5
2.448	0.5
2.445	0.5
2.442	0.5
2.440	0.5
2.437	0.5
2.434	0.5
2.432	0.5
2.429	0.5
2.426	0.5
2.424	0.5
2.421	0.5
2.418	0.5
2.416	0.5
2.413	0.5
2.410	0.5
2.408	0.5
2.405	0.5
2.402	0.5
2.400	0.5
2.397	0.5
2.394	0.4
2.392	0.5
2.389	0.5
2.386	0.5
2.384	0.4
2.381	0.5
2.378	0.5
2.376	0.5
2.373	0.5
2.370	0.5
2.368	0.5
2.365	0.5
2.362	0.5
2.360	0.5
2.357	0.5
2.354	0.5
2.352	0.5
2.349	0.5
2.346	0.4
2.344	0.4
2.341	0.5
2.338	0.5
2.336	0.5
2.333	0.5
2.330	0.5
2.328	0.5
2.325	0.5
2.322	0.5
2.320	0.5
2.317	0.5
2.314	0.5
2.312	0.5
2.309	0.5
2.306	0.5
2.304	0.5
2.301	0.5
2.298	0.4
2.296	0.5
2.293	0.5
2.290	0.5
2.288	0.5
2.285	0.5
2.282	0.5
2.280	0.5
2.277	0.5
2.274	0.5
2.272	0.5
2.269	0.5
2.266	0.5
2.264	0.5
2.261	0.4
2.258	0.5
2.256	0.5
2.253	0.5
2.250	0.4
2.248	0.5
2.245	0.5
2.242	0.5
2.240	0.5
2.237	0.5
2.234	0.5
2.231	0.4
2.229	0.4
2.226	0.5
2.223	0.4
2.221	0.5
2.218	0.5
2.215	0.4
2.213	0.4
2.210	0.5
2.207	0.5
2.205	0.5
2.202	0.5
2.199	0.5
2.197	0.5
2.194	0.5
2.191	0.5
2.189	0.5
2.186	0.5
2.183	0.5
2.181	0.5
2.178	0.5
2.175	0.4
2.173	0.5
2.170	0.5
2.167	0.5
2.165	0.4
2.162	0.5
2.159	0.5
2.157	0.5
2.154	0.5
2.151	0.5
2.149	0.4
2.146	0.5
2.143	0.5
2.141	0.5
2.138	0.5
2.135	0.4
2.133	0.4
2.130	0.4
2.127	0.5
2.125	0.4
2.122	0.5
2.119	0.5
2.117	0.5
2.114	0.5
2.111	0.4
2.109	0.4
2.106	0.4
2.103	0.4
2.101	0.4
2.098	0.4
2.095	0.4
2.093	0.5
2.090	0.4
2.087	0.5
2.085	0.5
2.082	0.4
2.079	0.4
2.077	0.4
2.074	0.4
2.071	0.4
2.069	0.4
2.066	0.5
2.063	0.5
2.061	0.5
2.058	0.4
2.055	0.5
2.053	0.4
2.050	0.4
2.047	0.4
2.045	0.4
2.042	0.4
2.039	0.4
2.037	0.4
2.034	0.4
2.031	0.4
2.029	0.4
2.026	0.5
2.023	0.5
2.021	0.5
2.018	0.5
2.015	0.4
2.013	0.4
2.010	0.5
2.007	0.5
2.005	0.4
2.002	0.4
1.999	0.4
1.997	0.4
1.994	0.4
1.991	0.4
1.989	0.4
1.986	0.5
1.983	0.4
1.980	0.4
1.978	0.4
1.975	0.4
1.972	0.4
1.970	0.4
1.967	0.5
1.964	0.5
1.962	0.4
1.959	0.4
1.956	0.4
1.954	0.5
1.951	0.5
1.948	0.5
1.946	0.4
1.943	0.5
1.940	0.4
1.938	0.4
1.935	0.4
1.932	0.5
1.930	0.4
1.927	0.4
1.924	0.4
1.922	0.5
1.919	0.4
1.916	0.4
1.914	0.5
1.911	0.5
1.908	0.5
1.906	0.5
1.903	0.4
1.900	0.4
1.898	0.5
1.895	0.5
1.892	0.5
1.890	0.5
1.887	0.5
1.884	0.5
1.882	0.4
1.879	0.4
1.876	0.4
1.874	0.5
1.871	0.4
1.868	0.4
1.866	0.4
1.863	0.5
1.860	0.4
1.858	0.5
1.855	0.5
1.852	0.5
1.850	0.4
1.847	0.4
1.844	0.4
1.842	0.4
1.839	0.4
1.836	0.5
1.834	0.4
1.831	0.5
1.828	0.4
1.826	0.5
1.823	0.4
1.820	0.4
1.818	0.4
1.815	0.4
1.812	0.4
1.810	0.4
1.807	0.5
1.804	0.5
1.802	0.4
1.799	0.5
1.796	0.5
1.794	0.5
1.791	0.4
1.788	0.4
1.786	0.4
1.783	0.4
1.780	0.5
1.778	0.5
1.775	0.5
1.772	0.5
1.769	0.4
1.767	0.4
1.764	0.4
1.761	0.5
1.759	0.5
1.756	0.5
1.753	0.4
1.751	0.5
1.748	0.4
1.745	0.4
1.743	0.4
1.740	0.4
1.737	0.4
1.735	0.4
1.732	0.4
1.729	0.4
1.727	0.4
1.724	0.4
1.721	0.4
1.719	0.4
1.716	0.4
1.713	0.5
1.711	0.4
1.708	0.4
1.705	0.4
1.703	0.4
1.700	0.4
1.697	0.5
1.695	0.4
1.692	0.5
1.689	0.4
1.687	0.5
1.684	0.5
1.681	0.5
1.679	0.4
1.676	0.5
1.673	0.4
1.671	0.4
1.668	0.4
1.665	0.5
1.663	0.4
1.660	0.5
1.657	0.4
1.655	0.4
1.652	0.4
1.649	0.4
1.647	0.4
1.644	0.4
1.641	0.4
1.639	0.4
1.636	0.4
1.633	0.4
1.631	0.4
1.628	0.4
1.625	0.4
1.623	0.5
1.620	0.4
1.617	0.4
1.615	0.4
1.612	0.5
1.609	0.5
1.607	0.5
1.604	0.5
1.601	0.5
1.599	0.4
1.596	0.4
1.593	0.4
1.591	0.4
1.588	0.5
1.585	0.5
1.582	0.4
