&a / °	I1 / %
2.736	0.1
2.733	0.2
2.731	0.1
2.728	0.1
2.725	0.1
2.723	0.1
2.720	0.1
2.717	0.1
2.715	0.1
2.712	0.1
2.709	0.1
2.707	0.1
2.704	0.1
2.701	0.1
2.699	0.1
2.696	0.1
2.693	0.1
2.691	0.1
2.688	0.1
2.685	0.1
2.683	0.1
2.680	0.1
2.677	0.1
2.675	0.1
2.672	0.1
2.669	0.1
2.667	0.1
2.664	0.1
2.661	0.1
2.659	0.1
2.656	0.1
2.653	0.1
2.651	0.1
2.648	0.1
2.645	0.1
2.643	0.1
2.640	0.1
2.637	0.1
2.635	0.1
2.632	0.1
2.629	0.1
2.627	0.1
2.624	0.1
2.621	0.1
2.619	0.1
2.616	0.1
2.613	0.1
2.610	0.1
2.608	0.1
2.605	0.1
2.602	0.1
2.600	0.1
2.597	0.1
2.594	0.1
2.592	0.1
2.589	0.1
2.586	0.1
2.584	0.1
2.581	0.1
2.578	0.1
2.576	0.1
2.573	0.1
2.570	0.1
2.568	0.1
2.565	0.1
2.562	0.1
2.560	0.1
2.557	0.1
2.554	0.1
2.552	0.1
2.549	0.1
2.546	0.1
2.544	0.1
2.541	0.1
2.538	0.1
2.536	0.1
2.533	0.1
2.530	0.1
2.528	0.1
2.525	0.1
2.522	0.1
2.520	0.1
2.517	0.1
2.514	0.1
2.512	0.1
2.509	0.1
2.506	0.1
2.504	0.1
2.501	0.1
2.498	0.1
2.496	0.1
2.493	0.1
2.490	0.1
2.488	0.1
2.485	0.1
2.482	0.1
2.480	0.1
2.477	0.1
2.474	0.1
2.472	0.1
2.469	0.1
2.466	0.1
2.464	0.1
2.461	0.1
2.458	0.1
2.456	0.1
2.453	0.1
2.450	0.1
2.448	0.1
2.445	0.1
2.442	0.1
2.440	0.1
2.437	0.1
2.434	0.1
2.432	0.1
2.429	0.1
2.426	0.1
2.424	0.1
2.421	0.1
2.418	0.1
2.416	0.1
2.413	0.1
2.410	0.1
2.408	0.1
2.405	0.1
2.402	0.1
2.400	0.1
2.397	0.1
2.394	0.1
2.392	0.1
2.389	0.1
2.386	0.1
2.384	0.1
2.381	0.1
2.378	0.1
2.376	0.1
2.373	0.1
2.370	0.1
2.368	0.1
2.365	0.1
2.362	0.1
2.360	0.1
2.357	0.1
2.354	0.1
2.352	0.1
2.349	0.1
2.346	0.1
2.344	0.1
2.341	0.1
2.338	0.1
2.336	0.1
2.333	0.1
2.330	0.1
2.328	0.1
2.325	0.1
2.322	0.1
2.320	0.1
2.317	0.1
2.314	0.1
2.312	0.1
2.309	0.1
2.306	0.1
2.304	0.1
2.301	0.1
2.298	0.1
2.296	0.1
2.293	0.1
2.290	0.1
2.288	0.1
2.285	0.1
2.282	0.1
2.280	0.1
2.277	0.1
2.274	0.1
2.272	0.1
2.269	0.1
2.266	0.1
2.264	0.1
2.261	0.1
2.258	0.1
2.256	0.1
2.253	0.1
2.250	0.1
2.248	0.1
2.245	0.1
2.242	0.1
2.240	0.1
2.237	0.1
2.234	0.1
2.231	0.1
2.229	0.1
2.226	0.1
2.223	0.1
2.221	0.1
2.218	0.1
2.215	0.1
2.213	0.1
2.210	0.1
2.207	0.1
2.205	0.1
2.202	0.1
2.199	0.1
2.197	0.1
2.194	0.1
2.191	0.1
2.189	0.1
2.186	0.1
2.183	0.1
2.181	0.1
2.178	0.1
2.175	0.1
2.173	0.1
2.170	0.1
2.167	0.1
2.165	0.1
2.162	0.1
2.159	0.1
2.157	0.1
2.154	0.1
2.151	0.1
2.149	0.1
2.146	0.1
2.143	0.1
2.141	0.1
2.138	0.1
2.135	0.1
2.133	0.1
2.130	0.1
2.127	0.1
2.125	0.1
2.122	0.1
2.119	0.1
2.117	0.1
2.114	0.1
2.111	0.1
2.109	0.1
2.106	0.1
2.103	0.2
2.101	0.2
2.098	0.2
2.095	0.2
2.093	0.2
2.090	0.2
2.087	0.2
2.085	0.2
2.082	0.1
2.079	0.1
2.077	0.1
2.074	0.1
2.071	0.1
2.069	0.1
2.066	0.1
2.063	0.1
2.061	0.1
2.058	0.1
2.055	0.1
2.053	0.1
2.050	0.1
2.047	0.1
2.045	0.1
2.042	0.1
2.039	0.1
2.037	0.1
2.034	0.1
2.031	0.1
2.029	0.1
2.026	0.1
2.023	0.1
