#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0008	0.0020	2.216416	0.022560
0.0550	0.0020	2.062159	0.021047
0.1060	0.0020	1.833712	0.018816
0.1610	0.0020	1.619413	0.016737
0.2030	0.0020	1.453444	0.015140
0.2390	0.0020	1.323820	0.013904
0.3060	0.0020	1.068878	0.011517
0.3510	0.0020	0.901388	0.010000
0.4020	0.0020	0.722842	0.008467
0.4590	0.0020	0.550000	0.007149
0.5020	0.0020	0.438748	0.006483
0.5570	0.0020	0.320156	0.006137
0.6020	0.0020	0.229129	0.006488
0.6510	0.0020	0.150000	0.008055
0.7240	0.0020	0.050000	0.020591
